arm,case_index,scenario,simulation_seed,controller_yaw_deg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s
world_safe_adaptive,0,surface_dev_00,11,0.0,True,12.037188075662272,32.058679552129824,13.288009164215921,54.733333333333334,0.0,0.51113044599247,12.491679833321022,0.0,0.544
world_safe_adaptive,1,surface_dev_01,29,0.0,True,12.030672839365561,31.987399921510963,13.286242774632498,54.666666666666664,0.0,0.5113251481607068,12.488227771105715,0.0,0.544
world_safe_adaptive,2,surface_dev_02,11,0.0,True,12.133983090090677,32.167396473888246,13.29041135759537,54.400000000000006,0.0,0.5111800088536869,12.586789091129186,0.0,0.544
world_safe_adaptive,3,surface_dev_03,29,0.0,True,12.11916036612783,32.21571691325779,13.293564557819103,54.333333333333336,0.0,0.511521543509054,12.574111379699662,0.0,0.544
world_safe_adaptive,4,surface_dev_04,11,0.0,True,10.324104446559707,26.803676829264077,13.290125602257204,61.86666666666667,0.0,0.5115431825253686,10.7025872868262,0.0,0.544
world_safe_adaptive,5,surface_dev_05,29,0.0,True,10.321376078486667,26.400609830344337,13.288832918176878,61.93333333333333,0.0,0.5116863175384738,10.695099528066326,0.0,0.544
world_safe_adaptive,6,surface_dev_06,11,0.0,True,10.40380963674892,26.73550541818795,13.297076083567884,61.6,0.0,0.5115406699190441,10.778238566656025,0.0,0.544
world_safe_adaptive,7,surface_dev_07,29,0.0,True,10.398164292169222,26.932967742128806,13.291483668854791,61.53333333333333,0.0,0.5118370725018853,10.772367025682648,0.0,0.544
world_safe_adaptive,8,surface_dev_08,11,0.0,True,11.83853319696042,32.29268033899436,11.771366271236149,52.800000000000004,0.0,0.41021949673490665,12.354135805668042,0.0,0.5740000000000001
world_safe_adaptive,9,surface_dev_09,29,0.0,True,11.822669140322876,32.34074138278787,11.766735222458541,52.800000000000004,0.0,0.4105927024007872,12.33882202783909,0.0,0.5740000000000001
world_safe_adaptive,10,surface_dev_10,11,0.0,True,11.921838699755298,32.32360841135715,11.77414011978834,52.46666666666666,0.0,0.41033081008754746,12.436723445989875,0.0,0.5740000000000001
world_safe_adaptive,11,surface_dev_11,29,0.0,True,11.912453260696454,32.33579894157944,11.769714103487576,52.400000000000006,0.0,0.41067327370170736,12.426993226214627,0.0,0.5740000000000001
world_safe_adaptive,12,surface_dev_12,11,0.0,True,10.13358051677812,25.863289856510402,11.771349928704952,60.0,0.0,0.410366393581942,10.571038536541998,0.0,0.5740000000000001
world_safe_adaptive,13,surface_dev_13,29,0.0,True,10.124337041260533,26.53225059797655,11.767357332808535,59.93333333333334,0.0,0.41077979690181804,10.564246866510427,0.0,0.5740000000000001
world_safe_adaptive,14,surface_dev_14,11,0.0,True,10.211992021729465,27.27775192711746,11.77413612432791,59.66666666666667,0.0,0.4105006823765623,10.648051271457273,0.0,0.5740000000000001
world_safe_adaptive,15,surface_dev_15,29,0.0,True,10.210098789283377,26.147381031463173,11.77036409337089,59.53333333333334,0.0,0.4107936307445165,10.645902915152263,0.0,0.5740000000000001
world_safe_adaptive,16,surface_dev_16,11,0.0,True,11.79187342776676,31.78886130600438,12.469626967095758,54.333333333333336,0.0,0.38013034871162155,12.250441474341939,0.0,0.542
world_safe_adaptive,17,surface_dev_17,29,0.0,True,11.773854394919942,32.2523928726523,12.462047055510986,54.266666666666666,0.0,0.3804513419095109,12.23382700045045,0.0,0.544
world_safe_adaptive,18,surface_dev_18,11,0.0,True,11.860272285956817,31.46724723048749,12.472568634262982,54.0,0.0,0.38023135394146806,12.32118866234636,0.0,0.544
world_safe_adaptive,19,surface_dev_19,29,0.0,True,11.859016153254538,33.96071452197767,12.46492649503327,53.93333333333333,0.0,0.3806405829519897,12.317024891061333,0.0,0.544
world_safe_adaptive,20,surface_dev_20,11,0.0,True,10.11402022467621,27.031275078327553,12.473954152625318,61.199999999999996,0.0,0.38021822439208286,10.496162334512343,0.0,0.542
world_safe_adaptive,21,surface_dev_21,29,0.0,True,10.113093636963836,27.19619903380213,12.462283896687818,61.199999999999996,0.0,0.38060982029565754,10.48982746867281,0.0,0.544
world_safe_adaptive,22,surface_dev_22,11,0.0,True,10.19498828230885,27.306373859978148,12.472532937311966,60.93333333333333,0.0,0.3804018457502506,10.571815494607634,0.0,0.544
world_safe_adaptive,23,surface_dev_23,29,0.0,True,10.17767973703948,27.182930412551524,12.460226332251597,60.86666666666667,0.0,0.38076287502482137,10.556303046596502,0.0,0.544
surface_exact,0,surface_dev_00,11,-15.0,True,11.631217740215455,31.605351521206384,11.840455375113603,53.800000000000004,0.0,0.5222033272637061,12.137144852730708,0.0,0.544
surface_exact,1,surface_dev_01,29,-15.0,True,11.62074362629664,31.653860836718334,11.83933379508109,53.733333333333334,0.0,0.5224380884698104,12.125094506697932,0.0,0.546
surface_exact,2,surface_dev_02,11,-15.0,True,11.723427356264766,31.768917648590527,11.843293235458619,53.400000000000006,0.0,0.5222635496451455,12.227395502017771,0.0,0.544
