arm,case_index,contact_in_both_arms,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s
surface_exact,0,True,-0.40597033544681693,-0.45332803092344065,-1.4475537891023187,-0.93333333333333,0.0,0.011072881271236068,-0.35453498059031396,0.0,0.0
surface_exact,1,True,-0.4099292130689207,-0.33353908479262984,-1.4469089795514076,-0.93333333333333,0.0,0.011112940309103592,-0.36313326440778226,0.0,0.0020000000000000018
surface_exact,2,True,-0.4105557338259107,-0.39847882529771894,-1.447118122136752,-1.0,0.0,0.01108354079145868,-0.3593935891114146,0.0,0.0
surface_exact,3,True,-0.4030917745619558,1.4701943585340587,-1.4512263186842063,-0.93333333333333,0.0,0.011058287625119623,-0.3544523804184454,0.0,0.0020000000000000018
surface_exact,4,True,-0.3581314172460086,-0.014184879457808108,-1.4485921238995285,-1.0,0.0,0.01100991793878403,-0.30607776611996584,0.0,0.0
surface_exact,5,True,-0.3492040680952506,0.581089027314647,-1.4503574854619252,-1.0,0.0,0.01106143307868046,-0.2993323738829119,0.0,0.0020000000000000018
surface_exact,6,True,-0.35925375237852997,0.4109434499823621,-1.453447926222399,-1.0,0.0,0.01096491463010596,-0.3084644405903614,0.0,0.0
surface_exact,7,True,-0.36050018453495625,-0.11609398029801454,-1.4487372563108583,-1.0,0.0,0.01092266823651511,-0.3094619217127992,0.0,0.0020000000000000018
surface_exact,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,11,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,12,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,13,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,15,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface_exact,16,True,-0.056219814221929454,2.2661669157206994,-0.6566578239087093,-1.2666666666666728,0.0,0.0010980832037398303,-0.00419334510278091,0.0,0.0020000000000000018
surface_exact,17,True,-0.05686605724351068,1.7432285518709278,-0.6560578144197518,-1.2000000000000028,0.0,0.0012049516053485032,-0.006129317795629419,0.0,0.0
surface_exact,18,True,-0.04707383882154126,0.8439945507343047,-0.6571871494693244,-1.2666666666666657,0.0,0.0011972057191050323,0.002009573277444332,0.0,0.0
surface_exact,19,True,-0.060422614334941116,-0.11027830336387012,-0.6561014544337631,-1.2666666666666657,0.0,0.0011763677839767839,-0.00836597449820431,0.0,0.0
surface_exact,20,True,-0.06334850113391965,0.30518349541616985,-0.6614647677762253,-0.93333333333333,0.0,0.0010808946645623485,-0.013931196606320029,0.0,0.0020000000000000018
surface_exact,21,True,-0.06977174204962644,0.270366660577249,-0.6569788657637261,-1.0666666666666558,0.0,0.0011828956095689125,-0.01370214948826387,0.0,0.0
surface_exact,22,True,-0.06993761853370906,0.07893939439941988,-0.6567509397609612,-1.0666666666666629,0.0,0.0009864126397257644,-0.01448734169574628,0.0,0.0
surface_exact,23,True,-0.05998431382225,0.3379786606886306,-0.6519733040771847,-1.0,0.0,0.0010748167968765987,-0.008114907628256063,0.0,0.0
surface_minus5,0,True,-0.4185494492906585,-0.518937224798691,-1.4425723872912908,-0.8666666666666742,0.0,0.010959278892863078,-0.36827417955379893,0.0,0.0
surface_minus5,1,True,-0.42324736598366286,0.6811030647617002,-1.4419644888874892,-0.7333333333333343,0.0,0.010971698997188861,-0.3778985790553673,0.0,0.0020000000000000018
surface_minus5,2,True,-0.44088530592587283,0.44752759215163707,-1.442647071658481,-0.8000000000000043,0.0,0.011004494221063754,-0.39143604275137456,0.0,0.0
surface_minus5,3,True,-0.4225474723184153,-0.46498210519936123,-1.4464366469932948,-0.7333333333333343,0.0,0.010735528268055461,-0.37768495392263013,0.0,0.0020000000000000018
surface_minus5,4,True,-0.3591210939453493,0.32503252750663947,-1.4458349624118618,-0.7333333333333414,0.0,0.010682492629115803,-0.31758797276919815,0.0,0.0
surface_minus5,5,True,-0.3622974946767119,0.7760335840134474,-1.4451967830715429,-0.86666666666666,0.0,0.0108424120351438,-0.3151794782844526,0.0,0.0020000000000000018
surface_minus5,6,True,-0.3637593858587991,1.0208432481983394,-1.4494248458727608,-0.8666666666666742,0.0,0.01087549714845193,-0.31527496758578977,0.0,0.0
surface_minus5,7,True,-0.36966131476255804,0.26362715735369946,-1.4456215825969334,-0.8000000000000043,0.0,0.010895872068788948,-0.32216162219542,0.0,0.0020000000000000018
surface_minus5,8,True,-0.02582068586915831,-0.6699840158707424,-0.013036545985219306,0.13333333333332575,0.0,0.00029121053976444156,-0.030696142973932083,0.0,0.0
surface_minus5,9,True,-0.017499333552564167,-0.27008937403421385,-0.013413976785098924,0.13333333333332575,0.0,0.00032041839654911586,-0.026424861071541628,0.0,0.0
surface_minus5,10,True,-0.02589702459163057,0.14082570611012102,-0.013176703668168699,0.13333333333333997,0.0,0.0003614912146766014,-0.03236422952581819,0.0,0.0
surface_minus5,11,True,-0.024418541882992528,0.016656908560754857,-0.013558629182758963,0.2666666666666586,0.0,0.0002915919555862567,-0.03280775870665309,0.0,0.0
surface_minus5,12,True,-0.012290209864518786,1.0629741369747023,-0.013318027100144292,0.06666666666666998,0.0,0.00040768897495396805,-0.01767606227804741,0.0,0.0
surface_minus5,13,True,-0.016210231832957334,0.35156383261755053,-0.014034459306261127,0.13333333333333286,0.0,0.0002664505291631869,-0.024637136501112877,0.0,0.0
surface_minus5,14,True,-0.021162794407389995,0.04676009953293914,-0.013495683056580887,0.13333333333332575,0.0,0.0003309725088788684,-0.027607727471757215,0.0,0.0
surface_minus5,15,True,-0.02629576261297295,0.8007417838234403,-0.01416444891198232,0.13333333333333286,0.0,0.0003585869764677341,-0.02878159692372506,0.0,0.0
surface_minus5,16,True,-0.10348364430310397,1.831187403662053,-0.6906625183608028,-1.06666666666667,0.0,0.0016697047065785675,-0.05978536863158368,0.0,0.0020000000000000018
surface_minus5,17,True,-0.0876325614564788,0.18517511104283813,-0.6909251019278901,-1.0,0.0,0.0016292389291472364,-0.04869557278885672,0.0,0.0
surface_minus5,18,True,-0.06974721332245437,1.1353242276735038,-0.6910082486330982,-1.13333333333334,0.0,0.0015738755336559551,-0.029019139328621435,0.0,0.0
surface_minus5,19,True,-0.09393135099081107,-1.4285531702951744,-0.6912395541786633,-1.06666666666667,0.0,0.0016475673857679896,-0.049166002269341647,0.0,0.0
surface_minus5,20,True,-0.09362200724853764,-0.20498914157064618,-0.6947866282631097,-0.86666666666666,0.0,0.0016371696913480838,-0.05220825242313332,0.0,0.0020000000000000018
surface_minus5,21,True,-0.09874621401297823,0.004990751078441491,-0.6923566887132964,-0.93333333333333,0.0,0.001622613974880005,-0.05230888390052435,0.0,0.0
surface_minus5,22,True,-0.0976138118230967,0.023199540361520832,-0.6913730012982349,-0.93333333333333,0.0,0.0015146883691167234,-0.05333993322354402,0.0,0.0
