case,simulation_seed,wall_time_constant_s,wall_sliding_friction,wall_yaw_deg,position_noise_std_m,force_noise_std_n,force_bias_n,measurement_delay_ms,bias_compensation_scale,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks
holdout_00,29,0.004384210268967733,0.5544256090000146,0.23080835555653856,0.00021216257114976882,0.19045515139628388,-1.4378069022694022,12,0.9640685805629738,hybrid,holdout_00,1.7436723040770925,38.759050689502345,10.429962938873079,1.4071996991101734,100.0,24.334698387821422,0.0,80.61745,no,peak_force
holdout_01,30,0.004175658106164271,0.3667482170516758,3.4572767255817425,0.0004940763054637344,0.7879553285129877,1.0833356374343532,12,1.039428758899684,hybrid,holdout_01,1.4143621103592214,33.45806216416691,10.760630664916555,1.6625019186861585,100.0,24.77631325963734,0.0,100.46379999999999,yes,
holdout_02,31,0.005629700936581438,0.7893259829284238,-0.9449620039220097,2.2725211920496414e-05,0.7665682861112485,1.3315010169518535,12,0.9980300114075141,hybrid,holdout_02,1.7778338392908324,41.86618595612101,13.85471791699178,0.3528430449512276,100.0,23.11710720221153,0.0,96.51125,no,peak_force
holdout_03,32,0.006594092808792615,0.7325389708035386,5.659562360660599,0.00048696273197799305,0.529585954711425,-0.8056804424702618,10,0.9304281866531063,hybrid,holdout_03,1.3944630063960894,43.97369469610165,11.922628618881381,2.9451193186848523,100.0,23.299334831892068,0.0,90.36739999999999,no,peak_force
holdout_04,33,0.008046446664011917,0.5982009688861685,2.790200251094321,3.769110246814185e-05,0.49302439394945785,1.3983560144640585,20,0.9752710459786782,hybrid,holdout_04,1.7529824008330004,34.352575633783644,9.132352974000641,0.9407335206977852,100.0,24.017570373742156,0.0,81.11304999999999,yes,
holdout_05,34,0.004329841151866968,0.7550288810808472,-4.069487536027664,0.0005267442567294029,0.26547273761889845,1.3354843480886984,6,1.1120314608901594,hybrid,holdout_05,1.3668618305771352,44.12019039805016,22.17361816977016,3.774395133557713,100.0,23.259670089036565,0.0,81.3584,no,peak_force;tangent_rmse
holdout_06,35,0.010850876669958499,0.6500560053398408,4.01469302828564,0.00014513630092451084,0.22771369297305627,-1.3674547650228992,22,0.9885558700716888,hybrid,holdout_06,1.7092656459208933,38.52458926377475,13.085710119197742,0.5625581441841867,100.0,23.83047280711213,0.0,79.92535000000001,no,peak_force
holdout_07,36,0.005775239441145751,0.8347406968132027,5.554133726077115,0.0007948949575496861,0.7104807389146679,-0.13878949538921614,16,0.9409667013606293,hybrid,holdout_07,1.3758159913742072,44.64614144290521,13.211047373666698,2.5343377936791662,100.0,22.823305170956687,0.0,80.1953,no,peak_force
holdout_08,37,0.00982911386153934,0.2807837770066979,-5.107672956475939,0.00025173379540567494,0.462554542753679,-1.0730099198598082,28,0.8709497582448247,hybrid,holdout_08,1.6806959613619283,65.74580400561247,8.675949937933947,5.623572467363582,100.0,26.270840063868523,4.133333333333333,80.3716,no,peak_force;saturation
holdout_09,38,0.0067492503516062815,0.732476200287592,-3.9905177581079503,0.0001308930464124832,0.27176932951753907,-1.1929227630961168,30,1.0182472782418066,hybrid,holdout_09,1.8436342990650694,43.109800479227175,16.10517684703102,0.731019927379011,100.0,23.428269719419895,0.0,81.2697,no,peak_force;tangent_rmse
