method,case_id,group_id,simulation_seed,episode_success,tangent_rmse_mm,force_rmse_n,contact_ratio_pct,peak_force_n,max_penetration_mm,max_speed_m_s,saturation_pct,intervention_pct,episode_return
bc_seed11,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,14.775840748849557,0.10638108103823073,100.0,12.718344653505675,0.8509199734516928,0.07492543615741128,0.0,0.0,10.560559648462574
bc_seed11,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,14.775855665993785,0.10754683554332677,100.0,12.749067952910535,0.8508852377887357,0.07474488109192443,0.0,0.0,10.56067731843777
bc_seed11,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,14.80941403145069,0.3002066972059474,100.0,13.523808620184719,0.8103288397733956,0.0596335933262098,0.0,0.0,10.66320185533954
bc_seed11,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,14.786348790526176,0.30231709208793806,100.0,13.577548066729946,0.810293644737458,0.05951641378634356,0.0,0.0,10.666401904935302
bc_seed29,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,2.9115415000325555,0.10818652789066739,100.0,12.647806239630329,0.8509199734516928,0.07726840519997201,0.0,0.0,11.676616649033154
bc_seed29,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,2.916518671107019,0.10943790648879144,100.0,12.687614858060547,0.8508852377887357,0.07735258523763881,0.0,0.0,11.676497343249912
bc_seed29,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,4.687655409371204,0.3137685803592711,100.0,13.700078655517837,0.8103288397733956,0.07972029638288551,0.0,0.0,11.593971371938792
bc_seed29,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,4.6885823869450824,0.31476648021128595,100.0,13.709372870262552,0.810293644737458,0.07944380139654136,0.0,0.0,11.593835997947338
bc_seed47,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,12.988169361882397,0.09115799603849148,100.0,12.709444755034744,0.8509199734516928,0.07547635176079198,0.0,0.0,10.831697665169159
bc_seed47,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,12.986581338255027,0.09302546366244042,100.0,12.744253039684654,0.8508852377887357,0.07535265132833323,0.0,0.0,10.832036885618907
