epoch,train_action_mse,train_normal_mse,train_tangent1_mse,train_tangent2_mse,validation_action_mse,validation_normal_mse,validation_tangent1_mse,validation_tangent2_mse
1,0.10236889405428776,0.0025348638569094445,0.13970060962516095,0.16487120868079283,0.12621682280701632,0.0026412700652138684,0.1955256402301601,0.180483558125675
2,0.012046004249722514,0.00025188290568199206,0.013082305012842856,0.02280382483064269,0.013499103334484418,0.00019002760360366632,0.015766006400095643,0.02454127599975394
3,0.005917243763399432,6.809871112728359e-05,0.00932242314133973,0.008361209437731287,0.004697162958681867,5.5102153677601984e-05,0.007797955338574603,0.006238431383793395
4,0.005191836154797534,3.9957414903633555e-05,0.008260292997815798,0.007275258051673172,0.004223089995212525,3.525818676625052e-05,0.006820865885666637,0.00581314591320469
5,0.004800950251359842,3.108148464230906e-05,0.00761693491552475,0.006754834353912463,0.00392296029743076,3.0323762561230104e-05,0.006126503611180025,0.0056120535185510256
6,0.00436865680195004,2.5617853211141782e-05,0.0068867411386105,0.0061936114140284755,0.0038728027452301795,2.7910729223330356e-05,0.006279830222563721,0.005310667283903488
7,0.003978057113601322,2.220979402122602e-05,0.0061417723699332735,0.0057701891768494685,0.0036780053169858037,2.4084643211556596e-05,0.005789510554738887,0.005220420753006967
8,0.0037178077277401924,2.0104073058078216e-05,0.0057605933556408116,0.005372725754521687,0.0035231449070720297,2.5564061788859532e-05,0.005459076192773414,0.005084794466653816
9,0.003397935527977004,1.7883779227135387e-05,0.005184839262260501,0.004991083542443375,0.003518742675260231,2.1714066899646297e-05,0.005667750567910111,0.004866763390970935
10,0.0031171086077645396,1.6835940282120032e-05,0.0046805310698724255,0.004653958813139075,0.0033442308517237307,2.1934697023918568e-05,0.005316235301828996,0.00469452255631828
11,0.0028916278492679935,1.5825989539890226e-05,0.004330329882218731,0.0043287276760453595,0.0033123457808567932,2.0588538148907852e-05,0.00525117264085734,0.004665276163564132
12,0.002748132073489717,1.479497155659389e-05,0.0040445556124923355,0.004185045636420221,0.0034274155773562466,1.8097257317103046e-05,0.005227022515524944,0.005037126959226693
13,0.002552723038735977,1.4387046959557861e-05,0.0038869991090556997,0.003756782960192673,0.0031691590406222408,1.889380653363591e-05,0.0050743825878944845,0.004414200727438602
14,0.0024061919033185994,1.3766441334148258e-05,0.003704547500108653,0.003500261768512997,0.0031554977803233213,1.825427626246415e-05,0.005096343261284488,0.004351895803423013
15,0.0023116111109098073,1.3330117827808163e-05,0.0035642355393962167,0.003357267675505397,0.0031620598263634504,1.8210061507509247e-05,0.004989175394426594,0.004478794023156249
16,0.0022480992631457317,1.2700912861052144e-05,0.0036260958228444386,0.0031055010537317045,0.003118217884247041,1.6142124142871698e-05,0.0051103366473748135,0.004228174881223439
17,0.002101406560358357,1.1684641493799273e-05,0.0033852460683482482,0.002907288971233024,0.0030662315704734038,1.5444111919968186e-05,0.005092512877923994,0.004090737721576247
18,0.002030691937514121,1.1245479110266763e-05,0.003359281291974116,0.002721549041457979,0.0029168962665555337,1.33367624388139e-05,0.005082089801886493,0.0036552622353412953
19,0.0019602910281312615,1.0268038017678836e-05,0.0032717264443953885,0.0025988786019807164,0.0030140287945327453,1.2634716024498954e-05,0.00517272285711001,0.003856728810463729
20,0.0019118446668991303,9.767335221003733e-06,0.003269036701779727,0.0024567299636966593,0.0029293535115520954,1.169728634814957e-05,0.005229911057835473,0.0035464521904726627
21,0.0018643401722235906,9.135148063074647e-06,0.0032245064229574493,0.002359378945650248,0.002936232602735778,1.1664053498895124e-05,0.005278118308185796,0.0035189154465226427
22,0.0018266239632124248,8.578065343665335e-06,0.003204534387808608,0.002266759436485002,0.002837582210531066,1.0096029401328051e-05,0.0052722841853217834,0.003230366416870086
23,0.001793795197858776,7.944177375309213e-06,0.0031717251151390903,0.0022017163010619283,0.002859166371422404,9.87376836130481e-06,0.005214649330354654,0.003352976015551253
24,0.0017558463753787413,7.34118688080605e-06,0.0031318390214688046,0.0021283589177866127,0.002853572845725433,8.918435132355002e-06,0.00531452792193506,0.0032372721801088825
25,0.0017155144949825834,6.8188672094228075e-06,0.003072691870349007,0.0020670327473893196,0.0027782919735765896,8.519261666920332e-06,0.005245333455919019,0.0030810232031438303
