case_index,rotation_gain_scale,max_force_n,velocity_error_time_s,trace_path,row_origin,window,start_s,end_s,samples,active_pct,ready_pct,projection_allowed_pct,amplitude_capped_pct,slew_limited_pct,positive_update_pct,cap_blocks_positive_update_pct,position_lag_velocity_ahead_pct,positive_update_lag_ahead_pct,rate_limited_candidate_pct,position_drive_mean_mm,velocity_drive_mean_mm,drive_mean_mm,accepted_positive_coefficient_sum,accepted_negative_coefficient_sum,coefficient_start,coefficient_end,corrected_force_mean_n
23,1.0,6.0,0.05,results/franka_onset_observer/traces/case23__s1__f6n.npz,pinned_reference,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.784508949711494,0.5160501419661078,1.3005590916776018,0.0,0.0,0.45,0.45,12.457631110567496
23,1.0,6.0,0.05,results/franka_onset_observer/traces/case23__s1__f6n.npz,pinned_reference,onset,1.5,2.0,250,100.0,92.4,100.0,34.8,0.0,57.199999999999996,34.4,76.4,41.199999999999996,0.0,2.341397201044187,-0.2470619477863425,2.0943352532578445,0.040325434562568596,-3.067723945093803e-05,0.45,0.49029475732311767,12.387427609778358
23,1.0,6.0,0.05,results/franka_onset_observer/traces/case23__s1__f6n.npz,pinned_reference,middle,2.0,3.5,750,100.0,100.0,100.0,57.599999999999994,0.0,39.06666666666666,57.46666666666667,98.13333333333333,39.06666666666666,0.0,0.544197261982694,-0.06007252019027559,0.4841247417924185,0.014818867495157484,-0.0004431106909936755,0.49029475732311767,0.5046705141272815,12.022066849925347
23,1.0,6.0,0.05,results/franka_onset_observer/traces/case23__s1__f6n.npz,pinned_reference,late,3.5,4.5,500,100.0,100.0,100.0,92.4,0.0,7.3999999999999995,68.4,81.8,7.3999999999999995,0.0,0.24389128630752513,-0.055277842910154654,0.18861344339737046,0.001817645545778901,-0.0023385311818460153,0.5046705141272815,0.5041496284912144,11.920640389353427
23,1.0,6.0,0.1,traces/case23__s1__f6n__tv100ms.npz,executed,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.784508949711494,1.0321002839322155,1.8166092336437096,0.0,0.0,0.45,0.45,12.457631110567496
23,1.0,6.0,0.1,traces/case23__s1__f6n__tv100ms.npz,executed,onset,1.5,2.0,250,100.0,92.4,100.0,24.8,0.0,57.199999999999996,24.0,76.4,41.199999999999996,0.0,2.3376061757142153,-0.4911854000644119,1.8464207756498032,0.038482845985557124,-0.0004868141527151204,0.45,0.487996031832842,12.387377713376816
23,1.0,6.0,0.1,traces/case23__s1__f6n__tv100ms.npz,executed,middle,2.0,3.5,750,100.0,100.0,100.0,51.866666666666674,0.0,43.733333333333334,51.733333333333334,98.4,43.733333333333334,0.0,0.5670212841517512,-0.11936270791875958,0.44765857623299166,0.017257200308131104,-0.0006121881817017782,0.487996031832842,0.5046410439592713,12.022085827957847
23,1.0,6.0,0.1,traces/case23__s1__f6n__tv100ms.npz,executed,late,3.5,4.5,500,100.0,100.0,100.0,91.60000000000001,0.0,7.8,59.599999999999994,82.19999999999999,7.8,0.0,0.24420694520696115,-0.11053691279449657,0.13367003241246458,0.001676800107755838,-0.003440519928402219,0.5046410439592713,0.502877324138625,11.920633588270714
23,1.0,8.0,0.05,results/franka_onset_observer/traces/case23__s1__f8n.npz,pinned_reference,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.784508949711494,0.5160501419661078,1.3005590916776018,0.0,0.0,0.45,0.45,12.457631110567496
23,1.0,8.0,0.05,results/franka_onset_observer/traces/case23__s1__f8n.npz,pinned_reference,onset,1.5,2.0,250,100.0,92.4,100.0,0.0,0.0,82.39999999999999,0.0,74.8,66.4,0.0,2.249341450175583,-0.2808558920500442,1.9684855581255387,0.05358541222393204,-0.000660230975741749,0.45,0.5029251812481903,12.389102191496695
23,1.0,8.0,0.05,results/franka_onset_observer/traces/case23__s1__f8n.npz,pinned_reference,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,75.33333333333333,0.0,74.13333333333333,66.93333333333334,0.0,0.24877620617819737,-0.07154167933100745,0.17723452684718988,0.02141532098065224,-0.0041784061259420024,0.5029251812481903,0.5201620961029005,12.020953983300657
23,1.0,8.0,0.05,results/franka_onset_observer/traces/case23__s1__f8n.npz,pinned_reference,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,23.200000000000003,0.0,31.0,23.200000000000003,0.0,-0.12108836994821606,-0.05222300067199487,-0.17331137062021093,0.0018043764636931359,-0.013104127112235742,0.5201620961029005,0.5088623454543579,11.921353217944365
23,1.0,8.0,0.1,traces/case23__s1__f8n__tv100ms.npz,executed,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.784508949711494,1.0321002839322155,1.8166092336437096,0.0,0.0,0.45,0.45,12.457631110567496
23,1.0,8.0,0.1,traces/case23__s1__f8n__tv100ms.npz,executed,onset,1.5,2.0,250,100.0,92.4,100.0,0.0,0.0,72.0,0.0,76.0,56.00000000000001,0.0,2.275932516323336,-0.5318112515776825,1.7441212647456534,0.04626400674839393,-0.001643510688532801,0.45,0.49462049605986114,12.38848445434595
23,1.0,8.0,0.1,traces/case23__s1__f8n__tv100ms.npz,executed,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,83.06666666666666,0.0,88.66666666666667,77.60000000000001,0.0,0.37204293975831687,-0.13931686087104306,0.2327260788872738,0.02510943785938441,-0.0024969191462314577,0.49462049605986114,0.5172330147730141,12.021269584873988
