controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us
impedance,nominal,8.977348658546562,15.562618407613495,3.2575858006298257,0.6199687175226074,100.0,24.050680147590633,0.0,56.7661
admittance,nominal,0.9384118410062003,24.51908517267312,9.293202223225663,0.40832155399283465,100.0,24.801274601696964,0.0,71.79260000000001
hybrid,nominal,0.9141529427738484,26.570526115115545,9.499929082680808,0.4045711057133912,100.0,24.818208664107303,0.0,73.2662
impedance,stiff_wall,8.979968650956119,19.553415584199513,3.25753750873996,0.6199098374872741,100.0,24.04993077589994,0.0,56.80065
admittance,stiff_wall,0.9805146753878702,30.173272801753956,9.291752155293407,0.4082418918209255,100.0,24.789974250216044,0.0,73.2285
hybrid,stiff_wall,1.0515522589206847,32.46627215298778,9.498369802433674,0.40445987625268454,100.0,24.80425666912108,0.0,74.69045
impedance,noisy_delay,8.987334657297419,18.595035739238877,2.4062259591078528,0.6234699570425077,100.0,24.067971284406212,0.0,57.849
admittance,noisy_delay,0.9778502315142852,27.97472740899643,8.484059128871603,0.41601452297642305,100.0,24.848220817370425,0.0,75.592
hybrid,noisy_delay,0.9307449344280243,28.11574453568723,8.699705277212221,0.41244763939039675,100.0,24.862385257001446,0.0,76.44895
