arm,case_index,scenario_seed,simulation_seed,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,first_raw_contact_time_s,first_contact_wall_normal_velocity_m_s,early_raw_peak_n,late_raw_peak_n,seconds_over_35_n,peak_wall_normal_velocity_m_s,peak_commanded_wall_normal_force_n,event_timing,has_raw_contact
legacy_replay,0,16301434959511870338,1237627388685738049,safe_adaptive_hybrid,blind_00,3.442519767394665,39.18624769304269,8.715588356526435,6.752274506469062,100.0,22.79390887383974,0.0,498.4075,no,force_rmse;peak_force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,1,17525301306413689991,6910629524156363117,safe_adaptive_hybrid,blind_01,1.3206305070530053,37.72414094389947,16.118075680210787,1.982941608114329,100.0,23.003600692098953,0.0,400.92359999999996,no,peak_force;tangent_rmse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,2,9582396171392131757,11510007187665870296,safe_adaptive_hybrid,blind_02,1.1079614001703104,34.85128290173455,7.028249475675391,2.073517108415721,100.0,24.556674892036316,0.0,305.798,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,3,2020940413233927572,6354302425675587931,safe_adaptive_hybrid,blind_03,1.095638619093577,34.733205174869,6.3285190267705715,1.9354914100939693,100.0,24.84666982142058,0.0,341.41639999999995,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,4,4577279984682491532,6078883991136184361,safe_adaptive_hybrid,blind_04,1.086085070181435,30.00525633384989,12.496949087921836,3.687414119246982,100.0,25.071992827925822,0.0,362.42285,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,5,12532684049207094977,15871473360209801291,safe_adaptive_hybrid,blind_05,0.9304670454143111,38.051466746250966,7.163286506022634,0.8289944571749753,100.0,24.744243437204297,0.0,339.71889999999996,no,peak_force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,6,7882380471846633001,1368606503599248569,safe_adaptive_hybrid,blind_06,1.1017512027351979,31.481012503669525,11.503702635498232,2.6186519811340583,100.0,24.953883118380077,0.0,350.0942,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,7,5165992133808271741,4212905083092472312,safe_adaptive_hybrid,blind_07,1.2805696092173882,36.8706377266179,16.389561408786335,3.3511448520408393,100.0,23.64646609964242,0.0,318.76039999999995,no,peak_force;tangent_rmse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,8,16600002752657376626,10536290159291755175,safe_adaptive_hybrid,blind_08,1.1511221401385214,32.67738321679262,9.296027714196866,0.8770885653457111,100.0,24.776480580504423,0.0,319.98900000000003,yes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
legacy_replay,9,4727713754755130212,15747546615271449326,safe_adaptive_hybrid,blind_09,1.3379625789911063,34.677212503924416,15.094092010301106,4.51757196738559,100.0,25.081303868851734,0.0,308.8915,no,tangent_rmse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,legacy_unaligned,True
