rotation_gain_scale,max_force_n,row_origin,trace_path,case_index,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_00__compact.npz,0,-15.0,0.005,0.1,11,True,0.21552701712620154,12.624059704727921,1.3691854242781614,100.0,0.0,0.5696777495200572,0.20055008155671922,0.0,0.544,0.789672065473871,0.6587495687574563,0.0,5.984360762996737,0.00422270379825673,6.151504988241717,4.951504988241718
1.0,8.0,executed,traces/public24__case00__s1__f8n.npz,0,-15.0,0.005,0.1,11,True,0.21704102274089293,12.624059704727921,1.3292393835751348,100.0,0.0,0.5731803384107642,0.20094956234988776,0.0,0.544,0.789672065473871,0.6570432893346877,0.0,6.339731029467231,0.0043827326954995775,6.151504988241717,4.951504988241718
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_00__compact.npz,0,-15.0,0.005,0.1,11,True,0.21951198285110957,12.541452551798194,1.4116475912808335,100.0,0.0,0.3046858788926256,0.20025615260563331,0.0,0.548,0.7888898870519502,0.6585504346298364,0.0,5.984360716642944,0.004661938251513319,6.157239414981818,4.957239414981819
2.0,8.0,executed,traces/public24__case00__s2__f8n.npz,0,-15.0,0.005,0.1,11,True,0.22090611961350648,12.541452551798194,1.3823105778498601,100.0,0.0,0.3065917489496567,0.20057879390654265,0.0,0.548,0.7888898870519502,0.6571603812224724,0.0,6.330117626265561,0.004884000820378105,6.157239414981818,4.957239414981819
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_01__compact.npz,1,-15.0,0.005,0.1,29,True,0.20613814975690367,12.607584848336476,1.3642185375712388,100.0,0.0,0.5699133432062367,0.20538429380017112,0.0,0.546,0.7894230923833692,0.6584434263635468,0.0,5.984360716642944,0.004256555773217722,6.176726641250342,4.976726641250343
1.0,8.0,executed,traces/public24__case01__s1__f8n.npz,1,-15.0,0.005,0.1,29,True,0.20773298259584685,12.607584848336476,1.323232852236424,100.0,0.0,0.5733488583113484,0.20561553467589277,0.0,0.546,0.7894230923833692,0.6573095989392332,0.0,6.335357914141804,0.004446773267970561,6.176726641250342,4.976726641250343
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_01__compact.npz,1,-15.0,0.005,0.1,29,True,0.21078489423043778,12.520181598889204,1.4069541621182902,100.0,0.0,0.3048502794170289,0.20511833735824736,0.0,0.548,0.788623812101187,0.6589126628029699,0.0,5.984360716642944,0.004695265445956715,6.184151937601893,4.984151937601894
2.0,8.0,executed,traces/public24__case01__s2__f8n.npz,1,-15.0,0.005,0.1,29,True,0.21223816059682782,12.520181598889204,1.377905409687872,100.0,0.0,0.3067298681897857,0.20529127501195793,0.0,0.548,0.788623812101187,0.6575942715216221,0.0,6.329521706170286,0.004952436366149001,6.184151937601893,4.984151937601894
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_02__compact.npz,2,-15.0,0.005,0.13,11,True,0.21672189875622813,12.625197196463274,1.3757627825720158,100.0,0.0,0.5697584309917754,0.2005325576051905,0.0,0.544,0.788108583967162,0.6565081346666182,0.0,5.984360762996737,0.004247951753624402,6.107281345945916,4.907281345945917
1.0,8.0,executed,traces/public24__case02__s1__f8n.npz,2,-15.0,0.005,0.13,11,True,0.2182354064412528,12.625197196463274,1.3360889161851353,100.0,0.0,0.5732857769269002,0.20092532080704348,0.0,0.544,0.788108583967162,0.6548044571848699,0.0,6.341361248185429,0.004411987608941221,6.107281345945916,4.907281345945917
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_02__compact.npz,2,-15.0,0.005,0.13,11,True,0.22063340306240184,12.542536229309793,1.4183608695536396,100.0,0.0,0.3047474779892139,0.2002416668379825,0.0,0.548,0.7873282861745114,0.6563435357822105,0.0,5.984360716642944,0.0046883719032997494,6.1129179713928705,4.912917971392871
2.0,8.0,executed,traces/public24__case02__s2__f8n.npz,2,-15.0,0.005,0.13,11,True,0.22203587415319065,12.542536229309793,1.3894138679752328,100.0,0.0,0.3066696532395574,0.20055956854327953,0.0,0.548,0.7873282861745114,0.6549519200104506,0.0,6.331749090325141,0.004915248098302194,6.1129179713928705,4.912917971392871
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_03__compact.npz,3,-15.0,0.005,0.13,29,True,0.20717152458952517,12.608693510981468,1.3707673258979867,100.0,0.0,0.5699959573102147,0.2053694106481507,0.0,0.546,0.7878612005228978,0.6562829525298286,0.0,5.984360716642944,0.004282285411078288,6.132419344297228,4.932419344297228
1.0,8.0,executed,traces/public24__case03__s1__f8n.npz,3,-15.0,0.005,0.13,29,True,0.20876639451974238,12.608693510981468,1.3301029609140842,100.0,0.0,0.5734551318763192,0.2055923686447358,0.0,0.546,0.7878612005228978,0.6551394449631036,0.0,6.336900788113495,0.004476304841382358,6.132419344297228,4.932419344297228
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_03__compact.npz,3,-15.0,0.005,0.13,29,True,0.21174323377731397,12.521219319480025,1.4136368397517225,100.0,0.0,0.3049125686837566,0.20510488203648053,0.0,0.548,0.7870637520220846,0.6567270017262868,0.0,5.984360716642944,0.004721756484236906,6.1397270347593835,4.939727034759384
2.0,8.0,executed,traces/public24__case03__s2__f8n.npz,3,-15.0,0.005,0.13,29,True,0.21320776134000083,12.521219319480025,1.3850415337095834,100.0,0.0,0.3068086116445855,0.2052720063469864,0.0,0.548,0.7870637520220846,0.6553484116067019,0.0,6.331074287416348,0.004983997671852291,6.1397270347593835,4.939727034759384
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_04__compact.npz,4,-15.0,0.012,0.1,11,True,0.21710084321990517,12.632031461236583,1.3839688402313546,100.0,0.0,0.570230220052204,0.20075457179543105,0.0,0.544,0.8509739222300126,0.7098783040716365,0.0,5.984360762996737,0.0042412828168510745,6.1470986803040635,4.947098680304064
1.0,8.0,executed,traces/public24__case04__s1__f8n.npz,4,-15.0,0.012,0.1,11,True,0.21862615345966374,12.632031461236583,1.3461086034972258,100.0,0.0,0.5737513398301799,0.20115883310100255,0.0,0.544,0.8509739222300126,0.7083500502297821,0.0,6.340693076497994,0.004406466783755473,6.1470986803040635,4.947098680304064
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_04__compact.npz,4,-15.0,0.012,0.1,11,True,0.22122386552497741,12.547590191893178,1.4270571518322615,100.0,0.0,0.3050544417916565,0.20049187127713752,0.0,0.548,0.8500978318572577,0.7097076744783,0.0,5.984360762996737,0.004682858495437429,6.152265094625847,4.952265094625847
2.0,8.0,executed,traces/public24__case04__s2__f8n.npz,4,-15.0,0.012,0.1,11,True,0.22263016238635383,12.547590191893178,1.3997179356758294,100.0,0.0,0.30697416200104033,0.20081734606865698,0.0,0.548,0.8500978318572577,0.7082794599909629,0.0,6.331071279755059,0.004910527585642679,6.152265094625847,4.952265094625847
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_05__compact.npz,5,-15.0,0.012,0.1,29,True,0.20815879772652443,12.609429748505596,1.3790949734616986,100.0,0.0,0.5704587220251132,0.20560616380886404,0.0,0.546,0.8507582365731882,0.7097641982148124,0.0,5.984360716642944,0.004274327985282121,6.170935447353079,4.97093544735308
1.0,8.0,executed,traces/public24__case05__s1__f8n.npz,5,-15.0,0.012,0.1,29,True,0.20974879700580276,12.609429748505596,1.3401822922940598,100.0,0.0,0.5739136293800001,0.20581854560106877,0.0,0.546,0.8507582365731882,0.7085256252604422,0.0,6.3372495482465565,0.004470627386911313,6.170935447353079,4.97093544735308
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_05__compact.npz,5,-15.0,0.012,0.1,29,True,0.2129286190554605,12.526299748194475,1.4239022834591544,100.0,0.0,0.3052096429015605,0.20537310359132827,0.0,0.548,0.8498904632013478,0.710358170433443,0.0,5.984360716642944,0.0047196623380907025,6.1774572782586175,4.977457278258618
2.0,8.0,executed,traces/public24__case05__s2__f8n.npz,5,-15.0,0.012,0.1,29,True,0.21436591791671042,12.526299748194475,1.396324068545595,100.0,0.0,0.3070953950175138,0.20553134309422177,0.0,0.548,0.8498904632013478,0.7088577812826447,0.0,6.331123934976548,0.004977641671771524,6.1774572782586175,4.977457278258618
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_06__compact.npz,6,-15.0,0.012,0.13,11,True,0.21829399152345022,12.633143773804454,1.3905309504106815,100.0,0.0,0.5703122362294859,0.20073319740867285,0.0,0.544,0.8492537704864294,0.7077082774868838,0.0,5.984360762996737,0.0042665940974670235,6.102902759023825,4.902902759023826
1.0,8.0,executed,traces/public24__case06__s1__f8n.npz,6,-15.0,0.012,0.13,11,True,0.2198178520646085,12.633143773804454,1.3529514712872306,100.0,0.0,0.5738564093335028,0.20113035964872136,0.0,0.544,0.8492537704864294,0.7061528894176713,0.0,6.342324040231236,0.0044356457968961725,6.102902759023825,4.902902759023826
