rotation_gain_scale,max_force_n,row_origin,trace_path,surface_yaw_deg,variant,case,simulation_seed,arm,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
2.0,8.0,executed,traces/dynamic__yaw-15__combined__s2__f8n.npz,-15.0,combined,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,1.601894314394011,0.004988325476110962,2.581318143254819,2.7588526029501015,0.0,0.0,3.0,1.601894314394011,1.3776045637922834,0.8174784769683733,-1.3014676852624198,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5259727944186199,0.5500774524812916,0.5261458373478903,0.5501437608715788,0.1478823889126124,0.04834193290591782,100.0,6.538888242128105,6.411519851580601,0.34183101082866657,0.3187755930406773,10.999274357913013,1.1668090295065765,-1.1654016278716854,1.2525453645727993,100.0,0.5,1.0,100.0,0.17101799488252778,0.214371895747385,1.0,0.0,0.0,6.560858018803032,5.360858018803032,0.05,100.0,0.0,0.0,12.020266082170007,11.874636251524022
2.0,8.0,executed,traces/dynamic__yaw-15__combined__s2__f8n.npz,-15.0,combined,modest_combined,11,online,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.126309401579701,0.0020846564039884363,1.6704971313737667,1.7257333234943402,0.0,0.0,3.0,1.126309401579701,0.6586758749953691,0.9136295528199101,-0.4420055523382374,0.25,125,876,100.0,0.0,876,1.75,100.0,0.596113353443211,0.666988574541031,0.5962643538534037,0.666988574541031,0.131324400302113,0.035237818314872604,55.900000000000006,7.979090635880592,7.828848017297172,0.41759333837792934,0.33843881035887385,11.7897966032622,0.35158249244745726,-0.3442497291021374,0.6346689788980946,100.0,0.5,1.0,100.0,0.14709624490695467,0.21833891081896964,1.0,0.0,0.0,6.059343746144787,4.859343746144788,0.05,100.0,47.5,0.0,12.22128863695267,12.077911764618863
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,-15.0,no_bias,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,4.201931790380261,0.0051245186503396664,5.2482831306565645,5.261601759492987,0.7185,71.85000000000001,3.0,4.201931790380261,4.119868009140357,0.8263887452465284,-3.9792743735479794,0.25,125,1876,29.58422174840085,0.19400000000000084,555,1.108,100.0,0.506399572162442,0.510447121857562,0.506399572162442,0.510447121857562,0.188995735199593,0.0010118874237800002,0.65,5.984317976910445,5.979603894271883,0.313195003783447,0.24110487817151174,12.572894942346338,0.38878682417722216,0.07578124542597249,0.15448245074206074,100.0,0.5,1.0,100.0,0.27886349773342484,0.3738926162863709,1.0,0.0,0.0,5.462076927142343,4.262076927142344,0.05,100.0,99.35000000000001,0.0,12.200201085252973,12.017712229568874
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,-15.0,no_bias,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,3.1526233798929426,0.004866718374734449,3.625093188558808,3.710263867461733,0.62,62.0,3.0,3.1526233798929426,2.895760751380982,1.246436458953705,-2.890613400953381,0.25,125,126,23.015873015873016,0.19400000000000084,29,0.056,100.0,0.506399572162442,0.5098686714866463,0.506399572162442,0.5098686714866463,0.188995735199593,0.0069381986484085,4.3999999999999995,5.984286635324408,5.982606308651533,0.3128383104121796,0.2973387019368497,11.73324344152631,0.44056232555125674,-0.43654293289613866,0.5233446787439743,100.0,0.5,1.0,100.0,0.3015657916333637,0.3233778584991177,1.0,0.0,0.0,6.3922831785191825,5.192283178519183,0.05,100.0,95.6,0.0,12.020040085588915,11.874250279248677
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,-15.0,no_bias,modest_combined,11,online,late_post,10.0,12.0,0.002,1000,1000,0,3.0,5.074882190203659,0.005579051077957789,5.255824575023457,5.261601759492987,1.0,100.0,3.0,5.074882190203659,4.985086763669929,0.9504415832281116,-4.980827428887617,0.25,125,876,0.0,,0,0.0,100.0,0.510447121857562,0.510447121857562,0.510447121857562,0.510447121857562,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.313195003783447,0.2574466402349278,12.572894942346338,0.4280944052378351,0.4221725434590409,-0.13320257255576334,100.0,0.5,1.0,100.0,0.24838573219127158,0.3738926162863709,1.0,0.0,0.0,5.748786619827376,4.548786619827377,0.05,100.0,100.0,0.0,12.200201085252973,12.076418504304119
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,-15.0,no_bias,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,1.4463590278541294,0.002708795055028982,1.9266765247454356,3.2359284534344908,0.008,0.8,3.0,1.4463590278541294,1.187090176608737,0.8262997942963436,-1.1315207732045156,0.25,125,1876,100.0,0.0,1876,3.75,98.75,0.5447574137372232,0.6686267690517468,0.5449815074840038,0.6686267690517468,0.17263409414791653,0.0309673388286309,58.9,7.979090635880592,7.469960476012217,0.41759333837792934,0.30081280474203254,12.572345512548049,0.39102121673906054,0.08328034016540616,0.14899247795066878,100.0,0.5,1.0,100.0,0.29533937659430065,0.3960507931820286,1.0,0.0,0.0,5.472998224505031,4.272998224505032,0.05,100.0,39.85,0.05,12.213248664498362,12.019721351516916
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,-15.0,no_bias,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,1.9601065588580935,0.0054392234951169734,3.0414464824182317,3.2359284534344908,0.064,6.4,3.0,1.9601065588580935,1.6759530905370377,1.0164639493842704,-1.5947484250029424,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5447574137372232,0.5779589458388579,0.5449815074840038,0.5780463269930312,0.17263409414791653,0.06657782651161592,100.0,6.86224833225293,6.696203969982619,0.3587351851127409,0.3329859823448079,11.728833518880814,0.43865977630471664,-0.43388572471575754,0.5235969968690176,100.0,0.5,1.0,100.0,0.32053035287677634,0.3548562371045641,1.0,0.0,0.0,6.3694179871135095,5.16941798711351,0.05,100.0,0.0,0.0,12.01817662576569,11.877159805554102
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_-15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,-15.0,no_bias,modest_combined,11,online,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.3882639559864014,0.0016915283970761498,1.7402780496642019,1.7951854061974175,0.0,0.0,3.0,1.3882639559864014,1.2054104578934812,0.6886671470979583,-1.197405098076054,0.25,125,876,100.0,0.0,876,1.75,97.5,0.6324491654755274,0.6686267690517468,0.6326129580620841,0.6686267690517468,0.14036469085176861,0.018088801788109676,17.8,7.979090635880592,7.946336871646392,0.41759333837792934,0.34255911666482264,12.572345512548049,0.4330566347658261,0.42679438346584714,-0.13637392661812386,100.0,0.5,1.0,100.0,0.26502128060425684,0.3960507931820286,1.0,0.0,0.0,5.8201243814128105,4.620124381412811,0.05,100.0,79.7,0.1,12.213248664498362,12.077868990248565
2.0,6.0,executed,traces/dynamic__yaw-15__no_bias__s2__f6n.npz,-15.0,no_bias,modest_combined,11,online,post,8.0,12.0,0.002,2000,2000,0,3.0,4.1889568740724625,0.005120742789291201,5.239286118358169,5.257198048392166,0.706,70.6,3.0,4.1889568740724625,4.109828123232679,0.8103533120341355,-3.967889793490698,0.25,125,1876,30.863539445628994,0.14400000000000013,579,1.156,100.0,0.5055634261136653,0.5112895011426583,0.5055634261136653,0.5112895011426583,0.19181177957000584,0.001431518757248229,0.8999999999999999,5.984317976910445,5.979598315838646,0.313195003783447,0.24110464315194458,12.577648319857067,0.39054717831780245,0.0749760700287483,0.15428205043479637,100.0,0.5,1.0,100.0,0.1478126713484486,0.19778532151880426,1.0,0.0,0.0,5.459903802307455,4.259903802307456,0.05,100.0,99.1,0.0,12.202478965587904,12.016750635286451
2.0,6.0,executed,traces/dynamic__yaw-15__no_bias__s2__f6n.npz,-15.0,no_bias,modest_combined,11,online,early_post,8.0,8.5,0.002,250,250,0,3.0,3.1044895186383257,0.005015573674908225,3.662940537951428,3.76639206751531,0.516,51.6,3.0,3.1044895186383257,2.8475951640378687,1.2365504248041679,-2.840457068801496,0.25,125,126,42.857142857142854,0.14400000000000013,54,0.106,100.0,0.5055634261136653,0.5112895011426583,0.5055634261136653,0.5112895011426583,0.19181177957000584,0.011452150057985833,7.199999999999999,5.984286635324408,5.982543135346433,0.3128383104121796,0.29733585163205545,11.696118790362124,0.4712712465701502,-0.4682777728551616,0.5214098659868523,100.0,0.5,1.0,100.0,0.15850999562257942,0.19494138380453513,1.0,0.0,0.0,6.398173992689163,5.1981739926891635,0.05,100.0,92.80000000000001,0.0,11.984445070495951,11.840624607954597
