rotation_gain_scale,max_force_n,row_origin,trace_path,surface_yaw_deg,variant,case,simulation_seed,arm,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status
2.0,6.0,executed,traces/dynamic__yaw-15__no_bias__s2__f6n.npz,-15,no_bias,modest_combined,11,online,pre_change,1250,0.2969143682259701,12.471992859719574,100.0,1.8863186706907318,0.004705289382155547,0.3619004982670611,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw-15__no_bias__s2__f6n.npz,-15,no_bias,modest_combined,11,online,combined_transition,2000,0.1399124851789076,12.386062569762492,100.0,1.6545682173114895,0.00440877031517625,0.1282566485392023,0.0,100.0,5.1,8.25,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw-15__no_bias__s2__f6n.npz,-15,no_bias,modest_combined,11,online,combined_post,2000,0.39054717831780245,12.577648319857067,100.0,4.1889568740724625,0.005120742789291201,0.1478126713484486,0.0,100.0,99.1,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw-15__no_bias__s2__f8n.npz,-15,no_bias,modest_combined,11,online,pre_change,1250,0.2969143682259701,12.471992859719574,100.0,1.8863186706907318,0.004705289382155547,0.3619004982670611,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw-15__no_bias__s2__f8n.npz,-15,no_bias,modest_combined,11,online,combined_transition,2000,0.1425291439045232,12.386062569762492,100.0,1.635733161795403,0.004542854645158532,0.1289794650232055,0.0,100.0,0.0,8.25,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw-15__no_bias__s2__f8n.npz,-15,no_bias,modest_combined,11,online,combined_post,2000,0.3934310801832273,12.575124610569178,100.0,1.4484195471846621,0.002773410934574433,0.15669308098496285,0.0,100.0,39.5,0.05,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,0,combined,modest_combined,11,online,pre_change,1250,0.2039202375307344,12.367568589023554,100.0,1.7913973979883537,0.004275979679350299,0.5592049799791391,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,0,combined,modest_combined,11,online,combined_transition,2000,0.44378771805504263,12.3608376838957,100.0,1.416326940211192,0.003762300063992059,0.2458043660621281,0.0,100.0,4.95,8.450000000000001,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,0,combined,modest_combined,11,online,combined_post,2000,0.7766313298039496,11.804754020550963,100.0,3.2627450602066217,0.003970305738081095,0.3132481134901148,0.0,100.0,96.89999999999999,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,0,combined,modest_combined,11,online,pre_change,1250,0.2039202375307344,12.367568589023554,100.0,1.7913973979883537,0.004275979679350299,0.5592049799791391,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,0,combined,modest_combined,11,online,combined_transition,2000,0.4447351703184371,12.3608376838957,100.0,1.4032725794469143,0.0038320338904470523,0.2468038227206195,0.0,100.0,0.0,8.450000000000001,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,0,combined,modest_combined,11,online,combined_post,2000,0.7738456094839845,11.790284377009536,100.0,1.2232721525844001,0.00257222266217392,0.3304369960238611,0.0,100.0,25.75,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw0__combined__s2__f6n.npz,0,combined,modest_combined,11,online,pre_change,1250,0.18983106200878663,12.342721984263845,100.0,1.8323268774983965,0.004694701617914419,0.2993870480514187,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw0__combined__s2__f6n.npz,0,combined,modest_combined,11,online,combined_transition,2000,0.43632785573028093,12.411260684464514,100.0,1.4634932329716923,0.0038206437335482012,0.14097955480336855,0.0,100.0,4.95,8.450000000000001,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw0__combined__s2__f6n.npz,0,combined,modest_combined,11,online,combined_post,2000,0.7805004421622224,11.803593748796484,100.0,3.2549953184760527,0.00399069077431928,0.1629731058354814,0.0,100.0,96.7,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw0__combined__s2__f8n.npz,0,combined,modest_combined,11,online,pre_change,1250,0.18983106200878663,12.342721984263845,100.0,1.8323268774983965,0.004694701617914419,0.2993870480514187,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw0__combined__s2__f8n.npz,0,combined,modest_combined,11,online,combined_transition,2000,0.4366938883890467,12.411260684464514,100.0,1.4488250161022933,0.003906977970986597,0.1420115504310486,0.0,100.0,0.0,8.450000000000001,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw0__combined__s2__f8n.npz,0,combined,modest_combined,11,online,combined_post,2000,0.7782227763982007,11.78949621886083,100.0,1.2276475008007437,0.0026554152309446457,0.17262260714589056,0.0,100.0,25.5,0.0,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,0,no_bias,modest_combined,11,online,pre_change,1250,0.2039202375307344,12.367568589023554,100.0,1.7913973979883537,0.004275979679350299,0.5592049799791391,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,0,no_bias,modest_combined,11,online,combined_transition,2000,0.121781911486795,12.3608376838957,100.0,1.6138841524840186,0.004226101467267391,0.24359289086473654,0.0,100.0,5.6000000000000005,8.4,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,0,no_bias,modest_combined,11,online,combined_post,2000,0.38123437489181355,12.581262736958287,100.0,4.132423983430001,0.00501075145121574,0.3032125852482415,0.0,100.0,98.65,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,0,no_bias,modest_combined,11,online,pre_change,1250,0.2039202375307344,12.367568589023554,100.0,1.7913973979883537,0.004275979679350299,0.5592049799791391,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,0,no_bias,modest_combined,11,online,combined_transition,2000,0.12214492043612368,12.3608376838957,100.0,1.584503132069738,0.004348358700778067,0.24543372594909735,0.0,100.0,0.0,8.4,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,0,no_bias,modest_combined,11,online,combined_post,2000,0.3842924168547476,12.563678946107986,100.0,1.411035730745816,0.0026609995776323133,0.32152938606905507,0.0,100.0,39.800000000000004,0.05,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw0__no_bias__s2__f6n.npz,0,no_bias,modest_combined,11,online,pre_change,1250,0.18983106200878663,12.342721984263845,100.0,1.8323268774983965,0.004694701617914419,0.2993870480514187,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw0__no_bias__s2__f6n.npz,0,no_bias,modest_combined,11,online,combined_transition,2000,0.11755597862052544,12.411260684464514,100.0,1.6613422345117472,0.004276020415665241,0.139353667368609,0.0,100.0,5.8500000000000005,8.3,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw0__no_bias__s2__f6n.npz,0,no_bias,modest_combined,11,online,combined_post,2000,0.38605683999086166,12.579944627326514,100.0,4.12251391678036,0.005023047004581016,0.1579272640878377,0.0,100.0,98.05,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw0__no_bias__s2__f8n.npz,0,no_bias,modest_combined,11,online,pre_change,1250,0.18983106200878663,12.342721984263845,100.0,1.8323268774983965,0.004694701617914419,0.2993870480514187,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw0__no_bias__s2__f8n.npz,0,no_bias,modest_combined,11,online,combined_transition,2000,0.11717897030046513,12.411260684464514,100.0,1.62953260352613,0.004416649449220072,0.14120497993545836,0.0,100.0,0.0,8.3,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw0__no_bias__s2__f8n.npz,0,no_bias,modest_combined,11,online,combined_post,2000,0.39001847445984517,12.565871476810425,100.0,1.4120820988210625,0.002761499430459468,0.16798775258308118,0.0,100.0,39.65,0.05,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,15.0,combined,modest_combined,11,online,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,15.0,combined,modest_combined,11,online,combined_transition,2000,0.42851827240624685,12.374976260816783,100.0,1.4350661970578291,0.003685117537607361,0.27962162136623897,0.0,100.0,5.4,8.6,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,15.0,combined,modest_combined,11,online,combined_post,2000,0.8020661430764406,11.828149804524852,100.0,3.3183299809868836,0.003994381526470877,0.4311951404836097,0.0,100.0,95.6,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,15.0,combined,modest_combined,11,online,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,15.0,combined,modest_combined,11,online,combined_transition,2000,0.42815001227350036,12.374976260816783,100.0,1.412768386389548,0.003736915959894079,0.28167237297588194,0.0,100.0,0.0,8.6,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,15.0,combined,modest_combined,11,online,combined_post,2000,0.8005969789974078,11.811942734896029,100.0,1.2640303047829278,0.002633473414366785,0.45065028550050656,0.0,100.0,29.299999999999997,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw15__combined__s2__f6n.npz,15.0,combined,modest_combined,11,online,pre_change,1250,0.1269813956594235,12.392822501454319,100.0,1.842969399870054,0.004601884439730565,0.2752549848990579,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw15__combined__s2__f6n.npz,15.0,combined,modest_combined,11,online,combined_transition,2000,0.42113224592776627,12.40980254439753,100.0,1.5044619157944348,0.0037815485036240782,0.16371063704022176,0.0,100.0,5.6000000000000005,8.450000000000001,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw15__combined__s2__f6n.npz,15.0,combined,modest_combined,11,online,combined_post,2000,0.8070796010845682,11.83050539832796,100.0,3.308639070527286,0.00402270694634556,0.2220417901636022,0.0,100.0,95.7,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw15__combined__s2__f8n.npz,15.0,combined,modest_combined,11,online,pre_change,1250,0.1269813956594235,12.392822501454319,100.0,1.842969399870054,0.004601884439730565,0.2752549848990579,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw15__combined__s2__f8n.npz,15.0,combined,modest_combined,11,online,combined_transition,2000,0.41991319632790525,12.40980254439753,100.0,1.4789663698134878,0.003855854395390249,0.16584579078084552,0.0,100.0,0.0,8.450000000000001,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw15__combined__s2__f8n.npz,15.0,combined,modest_combined,11,online,combined_post,2000,0.8063364435884268,11.813807832113381,100.0,1.2666459091890465,0.0027522781802828324,0.23296853413952717,0.0,100.0,29.5,0.0,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,combined_transition,2000,0.13067584343661062,12.374976260816783,100.0,1.6337582793808667,0.004156352591759947,0.27650946756657196,0.0,100.0,6.05,8.5,,yes,no,not_evaluated
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,combined_post,2000,0.3834991933778107,12.603163812446335,100.0,4.183927734058911,0.005016281865020572,0.42158420447864947,0.0,100.0,97.65,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,combined_transition,2000,0.13043218856261232,12.374976260816783,100.0,1.5910872297491245,0.004238805583650225,0.27986115523117067,0.0,100.0,0.0,8.5,,yes,no,not_evaluated
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,combined_post,2000,0.38816535055150886,12.584828269955192,100.0,1.466833908186656,0.0027127655996522456,0.4419171573674762,0.0,100.0,39.65,0.05,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw15__no_bias__s2__f6n.npz,15.0,no_bias,modest_combined,11,online,pre_change,1250,0.1269813956594235,12.392822501454319,100.0,1.842969399870054,0.004601884439730565,0.2752549848990579,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw15__no_bias__s2__f6n.npz,15.0,no_bias,modest_combined,11,online,combined_transition,2000,0.13562270028703305,12.40980254439753,100.0,1.7033649874344445,0.004246906283776681,0.16142842995345055,0.0,100.0,6.25,8.4,,yes,no,not_evaluated
2.0,6.0,executed,traces/dynamic__yaw15__no_bias__s2__f6n.npz,15.0,no_bias,modest_combined,11,online,combined_post,2000,0.39015831129512013,12.605500554695887,100.0,4.172618096479189,0.0050361997720045895,0.21740342563970935,0.0,100.0,97.5,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw15__no_bias__s2__f8n.npz,15.0,no_bias,modest_combined,11,online,pre_change,1250,0.1269813956594235,12.392822501454319,100.0,1.842969399870054,0.004601884439730565,0.2752549848990579,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw15__no_bias__s2__f8n.npz,15.0,no_bias,modest_combined,11,online,combined_transition,2000,0.13544213681938752,12.40980254439753,100.0,1.6573206825771487,0.0043500246274145015,0.16478170077783233,0.0,100.0,0.0,8.4,,yes,no,not_evaluated
2.0,8.0,executed,traces/dynamic__yaw15__no_bias__s2__f8n.npz,15.0,no_bias,modest_combined,11,online,combined_post,2000,0.3958529075558215,12.58843280964967,100.0,1.4656739601128856,0.00285690061638722,0.22860878431346782,0.0,100.0,39.7,0.05,,yes,no,not_evaluated
