case,simulation_seed,arm,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
static_nominal,11,baseline,steady,5250,0.12085634154428855,12.610178365977276,100.0,11.709632335167377,0.01602641019701261,0.17196022776478412,0.0,0.0,0.0,0.006845734828173786,-0.01432730667666246,,yes
static_nominal,11,integral,steady,5250,0.1323837227616448,12.65688490959961,100.0,8.11327581566878,0.013024697166333034,0.22355820752780944,0.0,0.011527381217356261,0.051597979763025326,0.018373116045530047,0.037270673086362865,,yes
static_nominal,11,friction,steady,5250,0.11401060671611477,12.592717871161149,100.0,1.707202033157649,0.002850995497394662,0.18628753444144658,0.0,-0.006845734828173786,0.01432730667666246,0.0,0.0,,yes
static_nominal,11,online,steady,5250,0.11751429378637152,12.645922649903891,100.0,1.0921039756855326,0.0026633186767758914,0.19215024595529903,0.0,-0.0033420477579170355,0.020190018190514913,0.00350368707025675,0.005862711513852453,,yes
static_nominal,29,baseline,steady,5250,0.11625483725092055,12.630452203089886,100.0,11.700015552224487,0.016024612446026664,0.17209435194059383,0.0,0.0,0.0,0.0068917058957879,-0.014329307362173083,,yes
static_nominal,29,integral,steady,5250,0.12856857411257255,12.688438207062044,100.0,8.101503377246356,0.013037517874093177,0.22369535010325897,0.0,0.012313736861652005,0.05160099816266514,0.019205442757439906,0.03727169080049206,,yes
static_nominal,29,friction,steady,5250,0.10936313135513265,12.571809962530981,100.0,1.6934310317487644,0.0028716805180818367,0.18642365930276691,0.0,-0.0068917058957879,0.014329307362173083,0.0,0.0,,yes
static_nominal,29,online,steady,5250,0.11310021019376028,12.629022589436339,100.0,1.0861978864231177,0.0026952947004327665,0.1922989243607196,0.0,-0.0031546270571602697,0.02020457242012577,0.0037370788386276305,0.005875265057952689,,yes
static_low_friction,11,baseline,steady,5250,0.11926117901113284,12.626419616146608,100.0,7.506873330651967,0.010380344145478547,0.2275531679455327,0.0,0.0,0.0,0.01606027082177855,-0.016711734979019954,,yes
static_low_friction,11,integral,steady,5250,0.12595285465677353,12.665230985342115,100.0,5.057324954994581,0.008482510499177429,0.26145077980714987,0.0,0.006691675645640688,0.03389761186161716,0.022751946467419237,0.017185876882597206,,yes
static_low_friction,11,friction,steady,5250,0.10320090818935429,12.533420470136255,100.0,3.8935565967532773,0.0050938203775482745,0.24426490292455266,0.0,-0.01606027082177855,0.016711734979019954,0.0,0.0,,yes
static_low_friction,11,online,steady,5250,0.10799820472132819,12.663760836451358,100.0,1.1685676815210726,0.0026295816376215708,0.23866971985156638,0.0,-0.011262974289804648,0.011116551906033667,0.004797296531973902,-0.005595183072986287,,yes
static_low_friction,29,baseline,steady,5250,0.11493268204929195,12.60251796780494,100.0,7.502711623141914,0.010398016318969245,0.22767560210471388,0.0,0.0,0.0,0.016190158626343043,-0.016671480319107507,,yes
static_low_friction,29,integral,steady,5250,0.12212246965916226,12.642756853196085,100.0,5.050381427358357,0.008523528465024476,0.2615738904887673,0.0,0.00718978760987031,0.0338982883840534,0.023379946236213353,0.017226808064945892,,yes
static_low_friction,29,friction,steady,5250,0.09874252342294891,12.4808542243171,100.0,3.8958654330737694,0.005101667734566975,0.2443470824238214,0.0,-0.016190158626343043,0.016671480319107507,0.0,0.0,,yes
static_low_friction,29,online,steady,5250,0.10389111363446281,12.62457368201367,100.0,1.1649518361045679,0.002624054373854573,0.2387178591163398,0.0,-0.011041568414829145,0.011042257011625922,0.005148590211513898,-0.0056292233074815845,,yes
static_high_friction,11,baseline,steady,5250,0.12163469035130617,12.617628697354823,100.0,15.577936219182794,0.02102084779028131,0.15215069415444185,0.0,0.0,0.0,0.0004948552382512406,-0.008397128646906477,,yes
static_high_friction,11,integral,steady,5250,0.1350603537578765,12.680506149739374,100.0,10.058741134451184,0.015976649046237055,0.1925843668958441,0.0,0.013425663406570337,0.04043367274140225,0.013920518644821578,0.03203654409449577,,yes
static_high_friction,11,friction,steady,5250,0.12113983511305493,12.613372486618756,100.0,6.4676801308081355,0.00910068303265766,0.16054782280134833,0.0,-0.0004948552382512406,0.008397128646906477,0.0,0.0,,yes
static_high_friction,11,online,steady,5250,0.12251155291273501,12.647810162039217,100.0,5.346616244761792,0.007718833073891041,0.16334602307495935,0.0,0.00087686256142884,0.0111953289205175,0.0013717177996800806,0.0027982002736110234,,yes
static_high_friction,29,baseline,steady,5250,0.11676514216868379,12.59310481658304,100.0,15.563990890620397,0.021010194369807802,0.152126687319027,0.0,0.0,0.0,0.000625728484049376,-0.008446043278254795,,yes
static_high_friction,29,integral,steady,5250,0.131109942405795,12.663556131834053,100.0,10.052034669100475,0.015986148140534544,0.19272450974900435,0.0,0.014344800237111197,0.04059782242997734,0.014970528721160573,0.03215177915172254,,yes
static_high_friction,29,friction,steady,5250,0.11613941368463442,12.588512290764491,100.0,6.449203197312248,0.009094993821996513,0.1605727305972818,0.0,-0.000625728484049376,0.008446043278254795,0.0,0.0,,yes
static_high_friction,29,online,steady,5250,0.117739714814067,12.59986153716677,100.0,5.327076820105587,0.007714700363103939,0.16336006806063874,0.0,0.0009745726453832121,0.011233380741611732,0.001600301129432588,0.002787337463356937,,yes
friction_step_up,11,baseline,pre_step,2250,0.16221413585255998,12.626419616146608,100.0,7.588783307706265,0.011590405415659782,0.24593725141119122,0.0,0.0,0.0,0.030656143426022464,-0.013842481967241693,,yes
friction_step_up,11,baseline,post_step,3000,0.14996278755666237,12.458415569041547,100.0,15.530782583510007,0.020510272479747384,0.14542090974871197,0.0,0.0,0.0,0.008203414667023456,-0.01072923753490021,,yes
friction_step_up,11,integral,pre_step,2250,0.16998093247758417,12.665230985342115,100.0,5.194381866955706,0.010582459804655338,0.2832013547638006,0.0,0.0077667966250241915,0.03726410335260938,0.038422940051046656,0.023421621385367686,,yes
friction_step_up,11,integral,post_step,3000,0.15588335164988937,12.601602175003435,100.0,9.792182349522704,0.015018290240612206,0.17890392306718444,0.0,0.005920564093226999,0.033483013318472477,0.014123978760250455,0.022753775783572266,,yes
friction_step_up,11,friction,pre_step,2250,0.1315579924265375,12.533420470136255,100.0,3.845134933997897,0.005383212484579606,0.2597797333784329,0.0,-0.030656143426022464,0.013842481967241693,0.0,0.0,,yes
friction_step_up,11,friction,post_step,3000,0.1417593728896389,12.401696461985651,100.0,6.3762665918723,0.011305511499468969,0.15615014728361218,0.0,-0.008203414667023456,0.01072923753490021,0.0,0.0,,yes
friction_step_up,11,online,pre_step,2250,0.14194580734724266,12.663760836451358,100.0,1.4240231520796578,0.0037465232796326767,0.25721041408181244,0.0,-0.020268328505317318,0.011273162670621228,0.010387814920705146,-0.0025693192966204648,,yes
friction_step_up,11,online,post_step,3000,0.14786174340599295,12.413832007707372,100.0,5.540956385965357,0.010597118423346819,0.15886938122910327,0.0,-0.0021010441506694177,0.0134484714803913,0.006102370516354039,0.0027192339454910897,,yes
friction_step_up,29,baseline,pre_step,2250,0.15542151596839673,12.60251796780494,100.0,7.588273618255727,0.011638771038647763,0.24606866912718411,0.0,0.0,0.0,0.030823304514354555,-0.013719368781753671,,yes
friction_step_up,29,baseline,post_step,3000,0.14951959178398727,12.492182431699765,100.0,15.515902395981588,0.020487175945971017,0.14540592508723518,0.0,0.0,0.0,0.008791333683874414,-0.01072122652088639,,yes
friction_step_up,29,integral,pre_step,2250,0.16413781377696762,12.642756853196085,100.0,5.190351028805361,0.010659650428639953,0.28335801463478916,0.0,0.008716297808570889,0.03728934550760504,0.03953960232292544,0.02356997672585137,,yes
friction_step_up,29,integral,post_step,3000,0.15546760176589713,12.643792876413846,100.0,9.782754078380822,0.015021183969289512,0.17908762794590496,0.0,0.005948009981909863,0.03368170285866978,0.014739343665784277,0.022960476337783392,,yes
friction_step_up,29,friction,pre_step,2250,0.12459821145404218,12.4808542243171,100.0,3.844132050686178,0.005388282118835898,0.2597880379089378,0.0,-0.030823304514354555,0.013719368781753671,0.0,0.0,,yes
friction_step_up,29,friction,post_step,3000,0.14072825810011286,12.446563302404941,100.0,6.355750180667429,0.011269445123848266,0.15612715160812157,0.0,-0.008791333683874414,0.01072122652088639,0.0,0.0,,yes
friction_step_up,29,online,pre_step,2250,0.13567739801807474,12.62457368201367,100.0,1.4218906573537007,0.003738277548316767,0.25716961109347475,0.0,-0.019744117950321993,0.011100941966290634,0.011079186564032562,-0.0026184268154630375,,yes
friction_step_up,29,online,post_step,3000,0.14610992835571496,12.420753184008959,100.0,5.491945952668005,0.010433721623566795,0.15843865156464074,0.0,-0.0034096634282723137,0.013032726477405554,0.0053816702556021,0.002311499956519164,,yes
friction_step_down,11,baseline,pre_step,2250,0.16410867313588337,12.617628697354823,100.0,15.526766877089843,0.022700600821415527,0.16861410628175744,0.0,0.0,0.0,0.0013639613225790714,-0.008281964693881733,,yes
friction_step_down,11,baseline,post_step,3000,0.16717131561177398,14.345997318844617,100.0,7.642990606098659,0.012784201364849179,0.21682682050723856,0.0,0.0,0.0,0.005638956432520215,-0.02023765110770767,,yes
friction_step_down,11,integral,pre_step,2250,0.18063421106390407,12.680506149739374,100.0,10.19988278982505,0.01927821848249013,0.21788855957431938,0.0,0.016525537928020695,0.04927445329256194,0.017889499250599766,0.04099248859868021,,yes
friction_step_down,11,integral,post_step,3000,0.16878157307877265,14.36122574748989,100.0,5.678173696611252,0.012494395197566274,0.2520214284836188,0.0,0.0016102574669986658,0.03519460797638024,0.00724921389951888,0.014956956868672572,,yes
friction_step_down,11,friction,pre_step,2250,0.1627447118133043,12.613372486618756,100.0,6.5420188573920495,0.01020215624489535,0.17689607097563917,0.0,-0.0013639613225790714,0.008281964693881733,0.0,0.0,,yes
