profile,arm,case_index,scenario,simulation_seed,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio,legacy_metric_max_abs_error,repair_pass,failed_repair_checks
legacy,world_safe_adaptive,0,surface_dev_00,11,0.0,-15.0,0.005,0.1,True,12.037188075662272,32.058679552129824,13.288009164215921,54.733333333333334,0.0,0.51113044599247,12.491679833321022,0.0,0.544,50.84368226964883,5.776373309637321,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,1,surface_dev_01,29,0.0,-15.0,0.005,0.1,True,12.030672839365561,31.987399921510963,13.286242774632498,54.666666666666664,0.0,0.5113251481607068,12.488227771105715,0.0,0.544,45.145526787002815,5.768780675513754,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,2,surface_dev_02,11,0.0,-15.0,0.005,0.13,True,12.133983090090677,32.167396473888246,13.29041135759537,54.400000000000006,0.0,0.5111800088536869,12.586789091129186,0.0,0.544,43.09931976738402,5.780695151851479,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,3,surface_dev_03,29,0.0,-15.0,0.005,0.13,True,12.11916036612783,32.21571691325779,13.293564557819103,54.333333333333336,0.0,0.511521543509054,12.574111379699662,0.0,0.544,51.18147438169102,5.768096480807384,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,4,surface_dev_04,11,0.0,-15.0,0.012,0.1,True,10.324104446559707,26.803676829264077,13.290125602257204,61.86666666666667,0.0,0.5115431825253686,10.7025872868262,0.0,0.544,38.148328992824304,5.774686399209766,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,5,surface_dev_05,29,0.0,-15.0,0.012,0.1,True,10.321376078486667,26.400609830344337,13.288832918176878,61.93333333333333,0.0,0.5116863175384738,10.695099528066326,0.0,0.544,37.64373600433773,5.770423748742004,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,6,surface_dev_06,11,0.0,-15.0,0.012,0.13,True,10.40380963674892,26.73550541818795,13.297076083567884,61.6,0.0,0.5115406699190441,10.778238566656025,0.0,0.544,41.09354320853964,5.780901020397535,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,7,surface_dev_07,29,0.0,-15.0,0.012,0.13,True,10.398164292169222,26.932967742128806,13.291483668854791,61.53333333333333,0.0,0.5118370725018853,10.772367025682648,0.0,0.544,39.962181529649975,5.767001964419643,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,8,surface_dev_08,11,0.0,0.0,0.005,0.1,True,11.83853319696042,32.29268033899436,11.771366271236149,52.800000000000004,0.0,0.41021949673490665,12.354135805668042,0.0,0.5740000000000001,45.315146678291676,5.428345669522062,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,9,surface_dev_09,29,0.0,0.0,0.005,0.1,True,11.822669140322876,32.34074138278787,11.766735222458541,52.800000000000004,0.0,0.4105927024007872,12.33882202783909,0.0,0.5740000000000001,45.54440768497064,5.419893986688273,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,10,surface_dev_10,11,0.0,0.0,0.005,0.13,True,11.921838699755298,32.32360841135715,11.77414011978834,52.46666666666666,0.0,0.41033081008754746,12.436723445989875,0.0,0.5740000000000001,45.06739611211813,5.429290422923446,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,11,surface_dev_11,29,0.0,0.0,0.005,0.13,True,11.912453260696454,32.33579894157944,11.769714103487576,52.400000000000006,0.0,0.41067327370170736,12.426993226214627,0.0,0.5740000000000001,39.774209151598185,5.41598491361063,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,12,surface_dev_12,11,0.0,0.0,0.012,0.1,True,10.13358051677812,25.863289856510402,11.771349928704952,60.0,0.0,0.410366393581942,10.571038536541998,0.0,0.5740000000000001,40.94797529032718,5.42834813983786,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,13,surface_dev_13,29,0.0,0.0,0.012,0.1,True,10.124337041260533,26.53225059797655,11.767357332808535,59.93333333333334,0.0,0.41077979690181804,10.564246866510427,0.0,0.5740000000000001,39.83273401760717,5.416851465204516,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,14,surface_dev_14,11,0.0,0.0,0.012,0.13,True,10.211992021729465,27.27775192711746,11.77413612432791,59.66666666666667,0.0,0.4105006823765623,10.648051271457273,0.0,0.5740000000000001,37.75662101720284,5.430545610653817,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,15,surface_dev_15,29,0.0,0.0,0.012,0.13,True,10.210098789283377,26.147381031463173,11.77036409337089,59.53333333333334,0.0,0.4107936307445165,10.645902915152263,0.0,0.5740000000000001,40.510440728856736,5.413074035603463,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,16,surface_dev_16,11,0.0,15.0,0.005,0.1,True,11.79187342776676,31.78886130600438,12.469626967095758,54.333333333333336,0.0,0.38013034871162155,12.250441474341939,0.0,0.542,48.78369503244842,5.4746800876982595,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,17,surface_dev_17,29,0.0,15.0,0.005,0.1,True,11.773854394919942,32.2523928726523,12.462047055510986,54.266666666666666,0.0,0.3804513419095109,12.23382700045045,0.0,0.544,44.68022630116364,5.461296109407154,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,18,surface_dev_18,11,0.0,15.0,0.005,0.13,True,11.860272285956817,31.46724723048749,12.472568634262982,54.0,0.0,0.38023135394146806,12.32118866234636,0.0,0.544,40.57892208875202,5.475752877080073,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,19,surface_dev_19,29,0.0,15.0,0.005,0.13,True,11.859016153254538,33.96071452197767,12.46492649503327,53.93333333333333,0.0,0.3806405829519897,12.317024891061333,0.0,0.544,44.526605944537195,5.461671843177742,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,20,surface_dev_20,11,0.0,15.0,0.012,0.1,True,10.11402022467621,27.031275078327553,12.473954152625318,61.199999999999996,0.0,0.38021822439208286,10.496162334512343,0.0,0.542,33.69969484987717,5.4775234677423725,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,21,surface_dev_21,29,0.0,15.0,0.012,0.1,True,10.113093636963836,27.19619903380213,12.462283896687818,61.199999999999996,0.0,0.38060982029565754,10.48982746867281,0.0,0.544,42.49684215295105,5.4640891829636145,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,22,surface_dev_22,11,0.0,15.0,0.012,0.13,True,10.19498828230885,27.306373859978148,12.472532937311966,60.93333333333333,0.0,0.3804018457502506,10.571815494607634,0.0,0.544,42.14173066413932,5.478788306678531,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,world_safe_adaptive,23,surface_dev_23,29,0.0,15.0,0.012,0.13,True,10.17767973703948,27.182930412551524,12.460226332251597,60.86666666666667,0.0,0.38076287502482137,10.556303046596502,0.0,0.544,39.70207175381032,5.462432107387863,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,0,surface_dev_00,11,-15.0,-15.0,0.005,0.1,True,11.631217740215455,31.605351521206384,11.840455375113603,53.800000000000004,0.0,0.5222033272637061,12.137144852730708,0.0,0.544,46.87044799522519,5.449225125714581,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,1,surface_dev_01,29,-15.0,-15.0,0.005,0.1,True,11.62074362629664,31.653860836718334,11.83933379508109,53.733333333333334,0.0,0.5224380884698104,12.125094506697932,0.0,0.546,42.54387525663705,5.434464811066925,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,2,surface_dev_02,11,-15.0,-15.0,0.005,0.13,True,11.723427356264766,31.768917648590527,11.843293235458619,53.400000000000006,0.0,0.5222635496451455,12.227395502017771,0.0,0.544,47.67447166990901,5.446651358334895,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,3,surface_dev_03,29,-15.0,-15.0,0.005,0.13,True,11.716068591565874,33.68591127179185,11.842338239134897,53.400000000000006,0.0,0.5225798311341736,12.219658999281217,0.0,0.546,50.695218331238415,5.4388733348744465,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,4,surface_dev_04,11,-15.0,-15.0,0.012,0.1,True,9.965973029313698,26.78949194980627,11.841533478357675,60.86666666666667,0.0,0.5225531004641526,10.396509520706234,0.0,0.544,46.0296549081099,5.444532111395044,0.45,0.0,no,contact_ratio;raw_force_rmse
