arm,case_index,contact_in_both_profiles,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio
world_safe_adaptive,0,True,-10.531887108417832,-17.611840223589397,0.04648646255853173,45.266666666666666,0.0,0.00857108599891021,-11.203217604472412,0.0,0.0,-50.84368226964883,-0.0030907897626262226,0.0
world_safe_adaptive,1,True,-10.54313452710391,-17.601070392402438,0.040201167542845084,45.333333333333336,0.0,0.008602525353577528,-11.206364460224695,0.0,0.0,-45.145526787002815,-0.006990438076384997,0.0
world_safe_adaptive,2,True,-10.626987744803701,-17.718872906417076,0.04764338510442556,45.599999999999994,0.0,0.008594228089302991,-11.297928113522195,0.0,0.0,-43.09931976738402,-0.006445914945762077,0.0
world_safe_adaptive,3,True,-10.629957426434837,-17.827584223532476,0.03642361057878318,45.666666666666664,0.0,0.008479751875565822,-11.29184747038395,0.0,0.0,-51.18147438169102,-0.005348045505243704,0.0
world_safe_adaptive,4,True,-8.817433334545463,-12.33479825634178,0.0569680450871779,38.13333333333333,0.0,0.008761340253283345,-9.413210358781198,0.0,0.0,-38.148328992824304,0.0003350702553879259,0.0
world_safe_adaptive,5,True,-8.832517976587841,-12.00880083476941,0.050221306957173084,38.06666666666667,0.0,0.00884471134116771,-9.412325333474097,0.0,0.0,-37.64373600433773,-0.006840219994672658,0.0
world_safe_adaptive,6,True,-8.895443833152115,-12.264935205094293,0.053566784136197754,38.4,0.0,0.008835089292138054,-9.488464936637719,0.0,0.0,-41.09354320853964,-0.004923638758938864,0.0
world_safe_adaptive,7,True,-8.907640372232237,-12.539302884918987,0.051106175421406164,38.46666666666667,0.0,0.008766261706215195,-9.489193499694736,0.0,0.0,-39.962181529649975,-0.002469689967340649,0.0
world_safe_adaptive,8,True,-11.676831185748632,-19.656094550413542,-0.017462462537364942,47.199999999999996,0.0,0.01511369763942183,-12.144346332051615,0.0,0.0,-45.315146678291676,-0.005997295932964164,0.0
world_safe_adaptive,9,True,-11.673579418503392,-19.718273701327142,-0.02014493458146127,47.199999999999996,0.0,0.015045400658647345,-12.123713660715913,0.0,0.0,-45.54440768497064,-0.009363913171557492,0.0
world_safe_adaptive,10,True,-11.758971784580675,-19.68584786978725,-0.017093478231524628,47.53333333333334,0.0,0.015054064368401898,-12.226994250607783,0.0,0.0,-45.06739611211813,-0.005979350735431765,0.0
world_safe_adaptive,11,True,-11.762433740703752,-19.712195986853583,-0.019998533973563326,47.599999999999994,0.0,0.015017269879854023,-12.211943102406744,0.0,0.0,-39.774209151598185,-0.004502875235597337,0.0
world_safe_adaptive,12,True,-9.968207975890216,-13.211666682012671,-0.012467718597543254,40.0,0.0,0.015350987255766502,-10.360716066533973,0.0,0.0,-40.94797529032718,-0.004145283376713493,0.0
world_safe_adaptive,13,True,-9.972513000299172,-13.903466627584333,-0.016307535211655733,40.06666666666666,0.0,0.015251977361976254,-10.348617536964698,0.0,0.0,-39.83273401760717,-0.004742572971349723,0.0
world_safe_adaptive,14,True,-10.045465774425299,-14.624994175732562,-0.012126503826246804,40.33333333333333,0.0,0.015267715422979888,-10.437793429993844,0.0,0.0,-37.75662101720284,-0.005391707884677466,0.0
world_safe_adaptive,15,True,-10.057352366544405,-13.517500470372008,-0.016203730074115796,40.46666666666666,0.0,0.01528995597680255,-10.430334157927385,0.0,0.0,-40.510440728856736,-2.4359674393181763e-05,0.0
world_safe_adaptive,16,True,-10.250489619329567,-16.61902194660942,0.2764076833749094,45.666666666666664,0.0,0.01590392629386117,-11.027089880526706,0.0,0.0,-48.78369503244842,0.05248882030133739,0.0
world_safe_adaptive,17,True,-10.243104162902332,-17.032950807342417,0.2686044983118254,45.733333333333334,0.0,0.015917922896104608,-11.014689264659808,0.0,0.0,-44.68022630116364,0.052388641705955585,0.0
world_safe_adaptive,18,True,-10.318013085593746,-16.29404287563134,0.2761912863313434,46.0,0.0,0.01587934143397346,-11.097474023733298,0.0,0.0,-40.57892208875202,0.052146833703470286,0.0
world_safe_adaptive,19,True,-10.327426586956381,-18.73834267247163,0.268415511488044,46.06666666666667,0.0,0.01580549477103871,-11.097526202609332,0.0,0.0,-44.526605944537195,0.052728990147898,0.0
world_safe_adaptive,20,True,-8.57039786037303,-11.830800917846389,0.27632268811812466,38.800000000000004,0.0,0.01603363324249446,-9.272595013605763,0.0,0.0,-33.69969484987717,0.05001328530375826,0.0
world_safe_adaptive,21,True,-8.580093599644256,-11.954331544460652,0.27255438051482095,38.800000000000004,0.0,0.015978462647764757,-9.270469388681027,0.0,0.0,-42.49684215295105,0.04996501393686348,0.0
world_safe_adaptive,22,True,-8.650500971170569,-12.103160574877503,0.280460984841838,39.06666666666667,0.0,0.01592514991284888,-9.347887124841131,0.0,0.0,-42.14173066413932,0.0494705378373812,0.0
world_safe_adaptive,23,True,-8.643850776137164,-11.938352461470217,0.2772958814509181,39.13333333333333,0.0,0.01590093495323247,-9.336586076319824,0.0,0.0,-39.70207175381032,0.05232967012909384,0.0
surface_exact,0,True,-11.432124595267837,-18.98129181647854,-0.01146031403466985,46.199999999999996,0.0,0.009945818547770435,-11.933676538185747,0.0,0.0,-46.87044799522519,-0.010800148611290084,0.0
surface_exact,1,True,-11.43332272039506,-19.046275988381954,-0.015096037375744942,46.266666666666666,0.0,0.009908165434551308,-11.916733683581363,0.0,0.0,-42.54387525663705,-0.006405747612506119,0.0
surface_exact,2,True,-11.522985064673133,-19.143720452127056,-0.011162441603680406,46.599999999999994,0.0,0.009950535780849812,-12.023979818393435,0.0,0.0,-47.67447166990901,-0.007298709517431945,0.0
surface_exact,3,True,-11.527459714917356,-21.077217760810385,-0.015000649785596565,46.599999999999994,0.0,0.009831869535241067,-12.011359584717264,0.0,0.0,-50.695218331238415,-0.009908600538881096,0.0
surface_exact,4,True,-9.764731788644845,-14.157460488569686,-0.007926768516693272,39.13333333333333,0.0,0.010110153548671286,-10.192561140853485,0.0,0.0,-46.0296549081099,-0.004554530612895569,0.0
surface_exact,5,True,-9.782086593945786,-14.372269109153388,-0.009148527876924106,39.06666666666667,0.0,0.010105624796966195,-10.18688999277231,0.0,0.0,-37.914095689421664,-0.008948080035096062,0.0
surface_exact,6,True,-9.841972079029347,-14.513305094365563,-0.006903683621569456,39.4,0.0,0.010222067985985461,-10.265881394476548,0.0,0.0,-42.129687003053526,-0.006537569972922874,0.0
surface_exact,7,True,-9.846390402471329,-14.20627550480649,-0.010333763569873256,39.46666666666667,0.0,0.010158765915750156,-10.254090475891422,0.0,0.0,-38.653372550209035,-0.004875203590813726,0.0
surface_exact,8,True,-11.676831185748632,-19.656094550413542,-0.017462462537364942,47.199999999999996,0.0,0.01511369763942183,-12.144346332051615,0.0,0.0,-45.315146678291676,-0.005997295932964164,0.0
surface_exact,9,True,-11.673579418503392,-19.718273701327142,-0.02014493458146127,47.199999999999996,0.0,0.015045400658647345,-12.123713660715913,0.0,0.0,-45.54440768497064,-0.009363913171557492,0.0
surface_exact,10,True,-11.758971784580675,-19.68584786978725,-0.017093478231524628,47.53333333333334,0.0,0.015054064368401898,-12.226994250607783,0.0,0.0,-45.06739611211813,-0.005979350735431765,0.0
surface_exact,11,True,-11.762433740703752,-19.712195986853583,-0.019998533973563326,47.599999999999994,0.0,0.015017269879854023,-12.211943102406744,0.0,0.0,-39.774209151598185,-0.004502875235597337,0.0
surface_exact,12,True,-9.968207975890216,-13.211666682012671,-0.012467718597543254,40.0,0.0,0.015350987255766502,-10.360716066533973,0.0,0.0,-40.94797529032718,-0.004145283376713493,0.0
