epoch,train_action_mse,train_normal_mse,train_tangent1_mse,train_tangent2_mse,validation_action_mse,validation_normal_mse,validation_tangent1_mse,validation_tangent2_mse
1,0.1269639228237152,0.00023436457009250506,0.18331950701799066,0.1973378968830624,0.1589091397871861,0.00022591748501575438,0.256484615300067,0.22001688657647553
2,0.03949311285828504,1.3922979689993082e-05,0.04494046619820689,0.07352494939695824,0.04509621961771719,1.0918377972850812e-05,0.050733686961311926,0.08454405351386678
3,0.01640165692991816,2.98351122226632e-06,0.023758987566838637,0.02544299971169357,0.01157166419975008,2.7978984858364864e-06,0.015153051836491918,0.01955914286427248
4,0.01576237559966446,1.689494652726982e-06,0.02269046754750324,0.02459496975683741,0.00914835044277225,1.0332122451306675e-06,0.011116674922744289,0.01632734319332733
5,0.015754391416543334,1.3652236249306266e-06,0.02267998011357292,0.024581828912432144,0.009010856072656748,9.135782459209542e-07,0.010596506164505031,0.01643514847521929
6,0.015763530955004577,1.1408982287211658e-06,0.022790699112089696,0.024498752854695313,0.009051917741911822,7.056781840218633e-07,0.010880266836000102,0.016274780711551338
7,0.015730806968033282,1.0566936514459041e-06,0.022697788524303424,0.024493575686144974,0.008924962076835486,6.709882737087786e-07,0.010770667295437651,0.016003547946795097
8,0.015742735534099994,1.1680747310782832e-06,0.022672122149487824,0.024554916378081076,0.00895285391654029,9.224890962227451e-07,0.010822444090030841,0.0160351951704938
9,0.015703857345618636,9.665125347998072e-07,0.022663376106324313,0.0244472294179968,0.008932839546952691,6.657952848667977e-07,0.010801469859062256,0.015996382986510946
10,0.01566588173525569,9.486512128485033e-07,0.022606682914398078,0.02439001364015614,0.008775055030798161,7.123952396028498e-07,0.010553396772662364,0.01577105592449252
11,0.015738250393958198,9.270929446939687e-07,0.02264165702081403,0.024572167068115876,0.00888204199073666,7.107682612142563e-07,0.01080521824862252,0.01584019695532625
12,0.015607650637913442,8.626159958861677e-07,0.022570227972851294,0.02425186132489314,0.00885535426853743,6.262275901671162e-07,0.010724680091831711,0.015840756486190412
13,0.01559040801781493,9.218481467333283e-07,0.022574828115293488,0.024195474090004575,0.008827332122131857,7.155095517303431e-07,0.010657780753677137,0.0158235001031667
14,0.015644113371356072,8.199200605944153e-07,0.022663191510259365,0.024268328683748255,0.008802749957557117,6.042435719634419e-07,0.01076429018958409,0.015643355439515297
15,0.015515679100473488,8.528805088710109e-07,0.022502178437718894,0.024044005983192708,0.008732444022713065,6.003565359641324e-07,0.010495226933223186,0.015701504778380043
16,0.015470168838889943,8.149171315297661e-07,0.022485116205906996,0.0239245753936313,0.008753060791726176,6.376186720139191e-07,0.010497799961836935,0.01576074479466958
17,0.015446826378368939,8.144096904948951e-07,0.022496210198102527,0.0238434545273138,0.008663734180115379,6.10291114394316e-07,0.010617374385521836,0.015373217863709909
18,0.01540473133920536,8.503089645227276e-07,0.022481158560632902,0.023732185148018656,0.00855849210707861,5.959854135073966e-07,0.010321465264634183,0.015353415071188143
19,0.01533912750812179,8.155880365189959e-07,0.02242445980359316,0.02359210713273569,0.008589940764293804,5.87168597083864e-07,0.010320215834672098,0.015449019289612238
20,0.015331313411782566,8.559640054934491e-07,0.022479315907352602,0.023513768363989607,0.00850644202607868,5.823293785480446e-07,0.010246024194611621,0.015272719554245875
21,0.01520116028696989,9.282862093494266e-07,0.02228939739451812,0.023313155180182205,0.008452021124916088,6.309076941811762e-07,0.010460671142169947,0.014894761324884133
22,0.015125813144253288,1.2659717818146984e-06,0.022253177015678468,0.023122996445299585,0.008447291574850599,8.409963688294368e-07,0.01037981552559717,0.014961218202585795
23,0.015078429089910224,1.4626984834184744e-06,0.022253783949035943,0.022980040622211314,0.00839109553114605,8.460218816065802e-07,0.010536925032027104,0.014635515539529438
24,0.014945420765620788,1.8944583788290462e-06,0.022128204373896634,0.0227061634645869,0.00831841760974214,1.0224795711603845e-06,0.010390283875428166,0.014563946474227091
