iteration,mean_cost,best_cost,validation_cost,training_simulation_seed,validation_simulation_seed
0,2.072635651335283,2.025741193173615,2.025741193173615,10001,80002
1,2.0097529411325583,2.0035549285869925,2.0035549285869925,110001,180002
2,1.9613264477416719,1.7946586253550265,1.7946586253550265,210001,280002
3,1.9394856798291369,1.7946586253550265,1.817621926933282,310001,380002
4,1.9170996812585424,1.746971972069105,1.746971972069105,410001,480002
5,1.8897642030725672,1.746971972069105,1.8509409975868143,510001,580002
6,1.9093111343335325,1.746971972069105,1.792091248558569,610001,680002
7,1.8652104378064553,1.746971972069105,1.779741942971647,710001,780002
8,1.8587563803217524,1.746971972069105,1.8331275750690788,810001,880002
