iteration,mean_cost,best_cost,validation_cost,training_simulation_seed,validation_simulation_seed
0,2.067584902717091,1.9749444476122955,1.9749444476122955,40001,110002
1,1.9571397694198374,1.8172937782400815,1.8172937782400815,140001,210002
2,1.9390795794124194,1.7432839045761463,1.7432839045761463,240001,310002
3,1.9120854110620595,1.7432839045761463,1.8316697672505893,340001,410002
4,1.9094426526669221,1.7432839045761463,1.898802439482235,440001,510002
5,1.9160780959019976,1.7432839045761463,1.7922297744353535,540001,610002
6,1.837335093869857,1.7432839045761463,1.8180681774045637,640001,710002
7,1.8723431641472739,1.7432839045761463,1.814505829368022,740001,810002
8,1.8917772573408276,1.7432839045761463,1.84644181486712,840001,910002
