iteration,mean_cost,best_cost,validation_cost,training_simulation_seed,validation_simulation_seed
0,2.0461617908559533,1.8875254908695909,1.8875254908695909,50001,120002
1,1.995038717454079,1.8875254908695909,1.9166210061029996,150001,220002
2,1.9301134122914816,1.8875254908695909,1.9262884426153992,250001,320002
3,1.9238361998796445,1.8016012871845106,1.8016012871845106,350001,420002
4,1.9406987014838322,1.8016012871845106,1.8870265560612218,450001,520002
5,1.8938553908318378,1.776795278641647,1.776795278641647,550001,620002
6,1.9065563217176815,1.776795278641647,1.8970954329587955,650001,720002
7,1.8557847754721197,1.776795278641647,1.8287339613576963,750001,820002
8,1.9190828908564086,1.776795278641647,1.7803526528439255,850001,920002
