iteration,mean_cost,best_cost,validation_cost,training_simulation_seed,validation_simulation_seed
0,2.083446411674072,1.9157895881290947,1.9157895881290947,20001,90002
1,1.9492894781524361,1.9157895881290947,1.934503406466876,120001,190002
2,1.970521355196084,1.8689289998595093,1.8689289998595093,220001,290002
3,1.9457277012984813,1.7928070772103444,1.7928070772103444,320001,390002
4,1.920056486185267,1.7562482687270706,1.7562482687270706,420001,490002
5,1.9159982806364517,1.7562482687270706,1.7987098333194307,520001,590002
6,1.879199276563072,1.7396092156818246,1.7396092156818246,620001,690002
7,1.8714940926572954,1.7396092156818246,1.8257904776240412,720001,790002
8,1.8976673826472483,1.7396092156818246,1.8630896600217335,820001,890002
