iteration,mean_cost,best_cost
0,2.0221055341737935,2.0221055341737935
1,1.9374437181742792,1.9374437181742792
2,1.8260567049310403,1.8260567049310403
3,1.7760222491142807,1.7760222491142807
4,1.7472724012611993,1.7472724012611993
5,1.7137700513003242,1.7137700513003242
6,1.6943666997934865,1.6943666997934865
7,1.7063578167884206,1.6943666997934865
8,1.6744470732006693,1.6744470732006693
