method,case,simulation_seed,wall_time_constant_s,wall_sliding_friction,wall_yaw_deg,position_noise_std_m,force_noise_std_n,force_bias_n,measurement_delay_ms,bias_compensation_scale,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks
fixed_hybrid,holdout_00,29,0.004384210268967733,0.5544256090000146,0.23080835555653856,0.00021216257114976882,0.19045515139628388,-1.4378069022694022,12,0.9640685805629738,hybrid,holdout_00,1.7436723040770925,38.759050689502345,10.429962938873079,1.4071996991101734,100.0,24.334698387821422,0.0,84.59209999999999,no,peak_force
adaptive_hybrid,holdout_00,29,0.004384210268967733,0.5544256090000146,0.23080835555653856,0.00021216257114976882,0.19045515139628388,-1.4378069022694022,12,0.9640685805629738,adaptive_hybrid,holdout_00,1.1753094893071887,39.828595020662426,8.103307171505758,1.3805587823732444,100.0,24.31667292990653,0.0,124.50385,no,peak_force
bounded_residual_rl,holdout_00,29,0.004384210268967733,0.5544256090000146,0.23080835555653856,0.00021216257114976882,0.19045515139628388,-1.4378069022694022,12,0.9640685805629738,residual_rl,holdout_00,1.2941288430427689,40.91825722919451,7.589757084057658,1.367413510972307,100.0,24.37338806928056,0.0,165.43865,no,peak_force
fixed_hybrid,holdout_01,30,0.004175658106164271,0.3667482170516758,3.4572767255817425,0.0004940763054637344,0.7879553285129877,1.0833356374343532,12,1.039428758899684,hybrid,holdout_01,1.4143621103592214,33.45806216416691,10.760630664916555,1.6625019186861585,100.0,24.77631325963734,0.0,84.0492,yes,
adaptive_hybrid,holdout_01,30,0.004175658106164271,0.3667482170516758,3.4572767255817425,0.0004940763054637344,0.7879553285129877,1.0833356374343532,12,1.039428758899684,adaptive_hybrid,holdout_01,1.0980344529855492,33.83232196641947,9.669951895189962,1.6443889375101384,100.0,24.949390476196047,0.0,130.94205,yes,
bounded_residual_rl,holdout_01,30,0.004175658106164271,0.3667482170516758,3.4572767255817425,0.0004940763054637344,0.7879553285129877,1.0833356374343532,12,1.039428758899684,residual_rl,holdout_01,1.139824251333971,34.67356598422051,7.274917552570593,1.6567078229436962,100.0,25.034301200775058,0.0,169.4907,yes,
fixed_hybrid,holdout_02,31,0.005629700936581438,0.7893259829284238,-0.9449620039220097,2.2725211920496414e-05,0.7665682861112485,1.3315010169518535,12,0.9980300114075141,hybrid,holdout_02,1.7778338392908324,41.86618595612101,13.85471791699178,0.3528430449512276,100.0,23.11710720221153,0.0,84.4429,no,peak_force
adaptive_hybrid,holdout_02,31,0.005629700936581438,0.7893259829284238,-0.9449620039220097,2.2725211920496414e-05,0.7665682861112485,1.3315010169518535,12,0.9980300114075141,adaptive_hybrid,holdout_02,1.3712078838007125,44.69579003298914,12.615868229475023,0.3803982255551856,100.0,23.1771330686714,0.0,125.68695,no,peak_force
bounded_residual_rl,holdout_02,31,0.005629700936581438,0.7893259829284238,-0.9449620039220097,2.2725211920496414e-05,0.7665682861112485,1.3315010169518535,12,0.9980300114075141,residual_rl,holdout_02,1.4633570820063555,45.25118467291959,10.468901890066503,0.37027160864757214,100.0,23.12503959392175,0.0,163.83155,no,peak_force
fixed_hybrid,holdout_03,32,0.006594092808792615,0.7325389708035386,5.659562360660599,0.00048696273197799305,0.529585954711425,-0.8056804424702618,10,0.9304281866531063,hybrid,holdout_03,1.3944630063960894,43.97369469610165,11.922628618881381,2.9451193186848523,100.0,23.299334831892068,0.0,84.33954999999999,no,peak_force
adaptive_hybrid,holdout_03,32,0.006594092808792615,0.7325389708035386,5.659562360660599,0.00048696273197799305,0.529585954711425,-0.8056804424702618,10,0.9304281866531063,adaptive_hybrid,holdout_03,1.3774992914318067,42.62553487417867,9.544292431463356,2.9156489960838408,100.0,23.412879498630012,0.0,129.30545,no,peak_force
bounded_residual_rl,holdout_03,32,0.006594092808792615,0.7325389708035386,5.659562360660599,0.00048696273197799305,0.529585954711425,-0.8056804424702618,10,0.9304281866531063,residual_rl,holdout_03,1.388232673131969,45.251266332524715,9.151284422240682,2.9068980650731007,100.0,23.416164931575803,0.0,167.13889999999998,no,peak_force
fixed_hybrid,holdout_04,33,0.008046446664011917,0.5982009688861685,2.790200251094321,3.769110246814185e-05,0.49302439394945785,1.3983560144640585,20,0.9752710459786782,hybrid,holdout_04,1.7529824008330004,34.352575633783644,9.132352974000641,0.9407335206977852,100.0,24.017570373742156,0.0,82.50675,yes,
adaptive_hybrid,holdout_04,33,0.008046446664011917,0.5982009688861685,2.790200251094321,3.769110246814185e-05,0.49302439394945785,1.3983560144640585,20,0.9752710459786782,adaptive_hybrid,holdout_04,1.2695961206768744,37.96628184327261,8.76244350399898,0.9746586334263176,100.0,24.11718257651252,0.0,123.39620000000001,no,peak_force
bounded_residual_rl,holdout_04,33,0.008046446664011917,0.5982009688861685,2.790200251094321,3.769110246814185e-05,0.49302439394945785,1.3983560144640585,20,0.9752710459786782,residual_rl,holdout_04,1.2482201075743464,35.659440231366304,7.6748135681765985,0.9606542790346785,100.0,24.174229178004026,0.0,161.42935,no,peak_force
fixed_hybrid,holdout_05,34,0.004329841151866968,0.7550288810808472,-4.069487536027664,0.0005267442567294029,0.26547273761889845,1.3354843480886984,6,1.1120314608901594,hybrid,holdout_05,1.3668618305771352,44.12019039805016,22.17361816977016,3.774395133557713,100.0,23.259670089036565,0.0,88.1672,no,peak_force;tangent_rmse
adaptive_hybrid,holdout_05,34,0.004329841151866968,0.7550288810808472,-4.069487536027664,0.0005267442567294029,0.26547273761889845,1.3354843480886984,6,1.1120314608901594,adaptive_hybrid,holdout_05,1.520136935012785,45.668049645800636,18.67261013413397,3.7579915083795634,100.0,23.378601545592854,0.0,129.5281,no,peak_force;tangent_rmse
