scale,method,case_index,scenario,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,duration_s,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,frozen_metric_max_abs_error,failed_gates,all_gates_pass
1.0,baseline,0,surface_dev_00,11,-15.0,0.005,0.1,4.5,True,0.19909314494761735,12.624059704727843,11.828995061078933,100.0,0.0,0.5321491458114765,0.20346831454496242,0.0,0.544,0.7896720654738676,0.6686854250247398,0.0,0.0,0.01791906018476113,6.230378935348931,5.030378935348931,0.0,,yes
1.0,integral,0,surface_dev_00,11,-15.0,0.005,0.1,4.5,True,0.2331118900731635,12.62263433960153,8.08945118948322,100.0,0.0,0.6526200436942701,0.20379048880067802,0.0,0.544,0.7896588487992899,0.6439744861609173,0.0,5.269030526563039,0.016779166189936197,6.203398307307552,5.0033983073075525,0.0,,yes
1.0,friction,0,surface_dev_00,11,-15.0,0.005,0.1,4.5,True,0.20964051008268803,12.624059704727921,1.8855354126455788,100.0,0.0,0.5567667630742675,0.20127911832104775,0.0,0.544,0.7896720654738676,0.6602403226087742,0.0,5.555088706099216,0.0037144369904054007,6.169318836124976,4.969318836124977,0.0,,yes
1.0,online,0,surface_dev_00,11,-15.0,0.005,0.1,4.5,True,0.21552701712620154,12.624059704727921,1.3691854242781614,100.0,0.0,0.5696777495200572,0.20055008155671922,0.0,0.544,0.7896720654738676,0.6587495687574563,0.0,5.984360762996737,0.00422270379825673,6.151504988241717,4.951504988241718,0.0,,yes
1.0,baseline,1,surface_dev_01,29,-15.0,0.005,0.1,4.5,True,0.18742090590158067,12.60758484833638,11.824237757705346,100.0,0.0,0.5323462539043617,0.20836082311656898,0.0,0.546,0.7894230923833692,0.6694703003648287,0.0,0.0,0.01795283026760421,6.233030136511346,5.033030136511346,0.0,,yes
1.0,integral,1,surface_dev_01,29,-15.0,0.005,0.1,4.5,True,0.22533728582239673,12.606161093285678,8.086222919688705,100.0,0.0,0.6527717894754275,0.20866235186731047,0.0,0.546,0.7894098932713436,0.6439674440827138,0.0,5.256625418794672,0.016852023675854377,6.215792507963634,5.015792507963635,0.0,,yes
1.0,friction,1,surface_dev_01,29,-15.0,0.005,0.1,4.5,True,0.19961834691019498,12.607584848336476,1.8743814466511093,100.0,0.0,0.556980579008517,0.2061409339163776,0.0,0.546,0.7894230923833692,0.66121117263096,0.0,5.543367645278306,0.0037774204024986525,6.163033569829917,4.963033569829918,0.0,,yes
1.0,online,1,surface_dev_01,29,-15.0,0.005,0.1,4.5,True,0.20613814975690367,12.607584848336476,1.3642185375712388,100.0,0.0,0.5699133432062367,0.20538429380017112,0.0,0.546,0.7894230923833692,0.6584434263635486,0.0,5.984360716642944,0.004256555773217722,6.176726641250342,4.976726641250343,0.0,,yes
1.0,baseline,2,surface_dev_02,11,-15.0,0.005,0.13,4.5,True,0.2004422915916335,12.625197196463471,11.832130793854938,100.0,0.0,0.5322140854259954,0.2034156836243347,0.0,0.544,0.7881085839672869,0.6665312084473598,0.0,0.0,0.01793273174691115,6.1860859109852555,4.986085910985256,0.0,,yes
1.0,integral,2,surface_dev_02,11,-15.0,0.005,0.13,4.5,True,0.23430326945813282,12.62378227380151,8.092652812804124,100.0,0.0,0.652734525994885,0.20374659981179113,0.0,0.544,0.7880954998905377,0.6417416861162137,0.0,5.270339968538392,0.016801234891197742,6.158853711773233,4.958853711773234,0.0,,yes
1.0,friction,2,surface_dev_02,11,-15.0,0.005,0.13,4.5,True,0.2108514954925669,12.625197196463274,1.8906523983223076,100.0,0.0,0.5568326809820323,0.20123881657600096,0.0,0.544,0.7881085839671585,0.6580716279418684,0.0,5.555036651401211,0.003731403408956967,6.125159951089558,4.925159951089559,0.0,,yes
1.0,online,2,surface_dev_02,11,-15.0,0.005,0.13,4.5,True,0.21672189875622813,12.625197196463274,1.3757627825720158,100.0,0.0,0.5697584309917754,0.2005325576051905,0.0,0.544,0.7881085839671585,0.6565081346666182,0.0,5.984360762996737,0.004247951753624402,6.107281345945916,4.907281345945917,0.0,,yes
1.0,baseline,3,surface_dev_03,29,-15.0,0.005,0.13,4.5,True,0.18860887664851844,12.60869351098147,11.8273375893493,100.0,0.0,0.5324117006694147,0.20829941456395382,0.0,0.546,0.7878612005228978,0.6673315573163495,0.0,0.0,0.017966470482365327,6.188537742377521,4.988537742377522,0.0,,yes
1.0,integral,3,surface_dev_03,29,-15.0,0.005,0.13,4.5,True,0.22637463378225214,12.607278534552512,8.089410062598384,100.0,0.0,0.65288725735191,0.20861083139150094,0.0,0.546,0.787847905296759,0.6417051553098685,0.0,5.257892732654334,0.016874314683400813,6.171435047505723,4.971435047505723,0.0,,yes
1.0,friction,3,surface_dev_03,29,-15.0,0.005,0.13,4.5,True,0.2006640024278618,12.608693510981468,1.8794677621737879,100.0,0.0,0.5570471190018768,0.2061007309157999,0.0,0.546,0.7878612005228978,0.6590059867729765,0.0,5.543459656967724,0.003794580603495095,6.118941294395566,4.918941294395567,0.0,,yes
1.0,online,3,surface_dev_03,29,-15.0,0.005,0.13,4.5,True,0.20717152458952517,12.608693510981468,1.3707673258979867,100.0,0.0,0.5699959573102147,0.2053694106481507,0.0,0.546,0.7878612005228978,0.6562829525298304,0.0,5.984360716642944,0.004282285411078288,6.132419344297228,4.932419344297228,0.0,,yes
1.0,baseline,4,surface_dev_04,11,-15.0,0.012,0.1,4.5,True,0.20124124066885243,12.632031461236583,11.833606709840982,100.0,0.0,0.5326632540128239,0.20394837985274816,0.0,0.544,0.8509739222300126,0.7197517747128072,0.0,0.0,0.01793463515183357,6.225900887984419,5.025900887984419,0.0,,yes
1.0,integral,4,surface_dev_04,11,-15.0,0.012,0.1,4.5,True,0.23506590687980605,12.63062638726578,8.095594795342988,100.0,0.0,0.6531629559430496,0.204267922069692,0.0,0.544,0.8509596367108664,0.6952706941491422,0.0,5.269722854221326,0.01679629177131383,6.197623899647144,4.997623899647145,0.0,,yes
1.0,friction,4,surface_dev_04,11,-15.0,0.012,0.1,4.5,True,0.21123546798702691,12.632031461236583,1.8913835295442922,100.0,0.0,0.5572624063259562,0.20155136681296756,0.0,0.544,0.8509739222300126,0.711263522454408,0.0,5.555913425289675,0.003710271298895963,6.165177779027748,4.965177779027749,0.0,,yes
1.0,online,4,surface_dev_04,11,-15.0,0.012,0.1,4.5,True,0.21710084321990517,12.632031461236583,1.3839688402313546,100.0,0.0,0.570230220052204,0.20075457179543105,0.0,0.544,0.8509739222300126,0.7098783040716365,0.0,5.984360762996737,0.0042412828168510745,6.1470986803040635,4.947098680304064,0.0,,yes
1.0,baseline,5,surface_dev_05,29,-15.0,0.012,0.1,4.5,True,0.19008541644562968,12.609429748505596,11.829326904838029,100.0,0.0,0.5328533754141205,0.20887716141110477,0.0,0.546,0.8507582365731882,0.7210406091351911,0.0,0.0,0.017970292228776018,6.227881390331724,5.027881390331725,0.0,,yes
1.0,integral,5,surface_dev_05,29,-15.0,0.012,0.1,4.5,True,0.22767714123836083,12.60787224889725,8.093115557222566,100.0,0.0,0.653314555523352,0.2091986736499939,0.0,0.546,0.8507430599181687,0.6951138802715889,0.0,5.257358955833242,0.016873948244898594,6.209684868474976,5.009684868474976,0.0,,yes
1.0,friction,5,surface_dev_05,29,-15.0,0.012,0.1,4.5,True,0.2017006114397428,12.609429748505596,1.8801641261462694,100.0,0.0,0.5574646396567383,0.20643908371762595,0.0,0.546,0.8507582365731882,0.7125911289324987,0.0,5.546061648030318,0.0037733779469446577,6.156965947506763,4.956965947506764,0.0,,yes
