method,case_index,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,from_scale,to_scale,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
integral,19,29,15.0,0.005,0.13,1.0,2.0,0.017125854012457004,0.0675601358118616,0.027044566850388918,0.0,0.0,-0.22281882028924205,0.0001485395473617701,0.0,0.0040000000000000036,-0.0007469156935898669,-0.00023285697516373105,0.0,-0.00646587178875091,0.0004143699820868159,-0.0005803990669930315,-0.0005803990669930315
friction,19,29,15.0,0.005,0.13,1.0,2.0,0.006100747768977788,-0.02713372577612816,0.013800595002656735,0.0,0.0,-0.19583072766577325,6.302739511401811e-05,0.0,0.0040000000000000036,-0.000741628096677438,-0.00020856402359137327,0.0,0.020291254722142327,0.00033556840381646384,0.0007156194432056395,0.0007156194432056395
online,19,29,15.0,0.005,0.13,1.0,2.0,0.010298085828319675,-0.004812781974191438,0.05600533562066068,0.0,0.0,-0.20051034050914998,0.0001193092977173349,0.0,0.0040000000000000036,-0.000741628096677438,-0.0001723259982108205,0.0,0.0,0.0005135332486848132,0.0009657997172292099,0.0009657997172292099
baseline,20,11,15.0,0.012,0.1,1.0,2.0,0.009490501604981022,0.0027406816334245576,-0.004887471586284775,0.0,0.0,-0.17931869946147186,-0.0002770691013464499,0.0,0.0020000000000000018,-0.0008470200994967758,-0.0003025904459219575,0.0,0.0,0.0001934323392597942,-0.0009664414940111499,-0.0009664414940111499
integral,20,11,15.0,0.012,0.1,1.0,2.0,0.01534852497103581,0.02871240013321419,0.027433905374730116,0.0,0.0,-0.22278588458075688,-0.00013129417022583745,0.0,0.0020000000000000018,-0.0008516103278192189,-2.1798529335703698e-05,0.0,-0.00960518070149341,0.00041665904049507235,0.00031274242584178324,0.00031274242584178324
friction,20,11,15.0,0.012,0.1,1.0,2.0,0.004389173756894155,-0.018599185111431993,0.013306600659532153,0.0,0.0,-0.19582639386670736,-8.764411937275951e-05,0.0,0.0020000000000000018,-0.0008470200995696064,-0.000522090310850154,0.0,0.006847745776976666,0.0003275853392057516,0.0004257064672579247,0.0004257064672579247
online,20,11,15.0,0.012,0.1,1.0,2.0,0.008437603718856379,-0.007739457935516114,0.054011194345189306,0.0,0.0,-0.2004576949730561,5.573606343733939e-06,0.0,0.0020000000000000018,-0.0008470200995696064,-0.0005200167793473209,0.0,0.0,0.0005037400876821618,0.0006887370759889322,0.0006887370759889322
baseline,21,29,15.0,0.012,0.1,1.0,2.0,0.011167252278580314,0.031912889439283276,-0.004797237567069956,0.0,0.0,-0.1794119618788228,1.8756924883983617e-05,0.0,0.0020000000000000018,-0.0008173180276183079,-0.000620503968351338,0.0,0.0,0.0001938645827211441,-0.0009199445921277416,-0.0009199445921277416
integral,21,29,15.0,0.012,0.1,1.0,2.0,0.016965133340097582,0.04343602586364703,0.0275982830645205,0.0,0.0,-0.22287274079445663,0.00014232700108438023,0.0,0.0020000000000000018,-0.0008223614859499406,-0.00021568865375165558,0.0,-0.00654094736465094,0.0004184031112768778,-0.0007276717537934019,-0.0007276717537934019
friction,21,29,15.0,0.012,0.1,1.0,2.0,0.0060062195231814774,-0.0296174508153495,0.014105404841360691,0.0,0.0,-0.19589393762376364,7.269442469587384e-05,0.0,0.0020000000000000018,-0.0008173180277257774,-0.00018195881742311126,0.0,0.020096066892429043,0.0003338928048012184,0.0005681094251439589,0.0005681094251439589
online,21,29,15.0,0.012,0.1,1.0,2.0,0.010201947048596088,-0.007059314027868524,0.05499282423157292,0.0,0.0,-0.20057651074286217,0.00013612890300188085,0.0,0.0020000000000000018,-0.0008173180277257774,-0.00015777893980917224,0.0,0.0,0.0005083460807636135,0.0008213175296711839,0.0008213175296711839
baseline,22,11,15.0,0.012,0.13,1.0,2.0,0.009430226139851505,0.0027407265424823635,-0.004864099663778987,0.0,0.0,-0.17932438280328683,-0.00027145645075041247,0.0,0.0020000000000000018,-0.0008453352194487396,-0.00033837198321240436,0.0,0.0,0.0001939405807656891,-0.0008216299896490753,-0.0008216299896490753
integral,22,11,15.0,0.012,0.13,1.0,2.0,0.015303831336913432,0.02905756697883355,0.027686498739388554,0.0,0.0,-0.22279650651959154,-0.00012852921429312714,0.0,0.0020000000000000018,-0.000849950064787941,-3.789633308370899e-05,0.0,-0.009588063871421859,0.00041820229618109994,0.0006299668403730863,0.0006299668403730863
friction,22,11,15.0,0.012,0.13,1.0,2.0,0.004327502303971914,-0.019312135209176517,0.013478374259344061,0.0,0.0,-0.19583895834467124,-8.447364909114352e-05,0.0,0.0020000000000000018,-0.0008453352194522923,-0.0005108942535814176,0.0,0.007003433091647082,0.0003293670006330714,0.0006250374895069299,0.0006250374895069299
online,22,11,15.0,0.012,0.13,1.0,2.0,0.008371961744603307,-0.007724686774086109,0.054294983883698356,0.0,0.0,-0.20046760640465378,3.7319319773909676e-06,0.0,0.0020000000000000018,-0.0008453352194522923,-0.0005490512666773695,0.0,0.0,0.0005053535722325583,0.0008899493608964804,0.0008899493608964804
baseline,23,29,15.0,0.012,0.13,1.0,2.0,0.011115473310950197,0.032078721967780055,-0.004775082935708497,0.0,0.0,-0.17941785714399372,2.1483730292259917e-05,0.0,0.0040000000000000036,-0.0008159915149790198,-0.0005984746000338159,0.0,0.0,0.00019432092033816462,-0.0007828149694741882,-0.0007828149694741882
integral,23,29,15.0,0.012,0.13,1.0,2.0,0.016939207651915644,0.043356997431772015,0.027850954684256024,0.0,0.0,-0.2228833644222875,0.0001447929917871016,0.0,0.0040000000000000036,-0.0008210545066369423,-0.000198239320289062,0.0,-0.006500188846457533,0.0004199283305681041,-0.0005152213595742694,-0.0005152213595742694
friction,23,29,15.0,0.012,0.13,1.0,2.0,0.005951517612524021,-0.029261021128020204,0.014283676344800433,0.0,0.0,-0.1959063341708069,7.525937051977571e-05,0.0,0.0040000000000000036,-0.0008159915150240948,-0.0002236161131020653,0.0,0.020131131418498427,0.0003355942087735959,0.0007570191768628831,0.0007570191768628831
online,23,29,15.0,0.012,0.13,1.0,2.0,0.010151737702590924,-0.00708580622584698,0.05515459053663796,0.0,0.0,-0.20059092578853216,0.0001367371653891447,0.0,0.0040000000000000036,-0.0008159915150240948,-0.0001692616352042542,0.0,0.0,0.0005087208085981527,0.0010163399038569665,0.0010163399038569665
