all_actions_legal,case_id,case_index,complete_execution_log,contact_ratio_pct,endpoint_valid,engineering_targets_met,env_seed,episode_return,evaluation_observed,events_file,exception_detail,force_rmse_n,group_id,hard_safe_completion,intervention_pct,max_contact_loss_s,max_force_age_s,max_kinematic_age_s,max_penetration_mm,max_speed_m_s,mean_decision_wall_ms,method,nominal_kind,nominal_projection_pct,orientation_rmse_deg,p95_decision_wall_ms,peak_force_n,physics_steps,physics_steps_per_wall_second,policy_steps,residual_projection_pct,saturation_pct,seconds_over_35_n,simulated_seconds_per_wall_second,simulation_seed,split,tangent_rmse_mm,terminated,termination_reasons,torque_mapping_max_error_nm,trace_file,trace_finite,truncated,wall_time_s
True,g000_seed11,0,True,100.0,True,False,11,9.46973680151238,True,case_000_plus_one.json,,0.685445789358601,c4ccad8d74f5bf63a45b3eca8a861b7c4e60cca35d37f4c03c74d9a38c114bd2,True,0.48333333333333334,0.0,0.002000000000000668,0.0,0.8664243146481627,0.07735160629647925,26.411231488315632,plus_one,friction,0.0,0.5181306478154917,29.952904650235723,15.39586755434629,6000,372.58105799915467,600,0.0,0.0,0.0,0.7451621159983093,287335974,train,15.71786645599937,False,,3.552713678800501e-15,case_000_plus_one.npz,True,True,16.103878259998964
True,g000_seed11,0,True,100.0,True,False,11,9.501190567082064,True,case_000_minus_one.json,,0.6432085568662321,c4ccad8d74f5bf63a45b3eca8a861b7c4e60cca35d37f4c03c74d9a38c114bd2,True,0.48333333333333334,0.0,0.002000000000000668,0.0,0.8507074864159796,0.07435179655825297,24.883835671674507,minus_one,friction,0.0,0.49595531570180507,27.662530150973907,12.620551352829679,6000,396.1431491641136,600,0.0,0.0,0.0,0.7922862983282272,287335974,train,15.556043600715904,False,,3.552713678800501e-15,case_000_minus_one.npz,True,True,15.14604004300054
True,g000_seed11,0,True,100.0,True,True,11,8.613091967407211,True,case_000_alternating.json,,0.3375947976330688,c4ccad8d74f5bf63a45b3eca8a861b7c4e60cca35d37f4c03c74d9a38c114bd2,True,90.08333333333334,0.0,0.002000000000000668,0.0,0.851620511344308,0.07433913634169753,26.364092939981372,alternating,friction,0.0,0.5039884908576039,30.382066399397445,12.89518835308902,6000,374.6710645405461,600,0.0,0.0,0.0,0.7493421290810923,287335974,train,1.6696814351845264,False,,3.552713678800501e-15,case_000_alternating.npz,True,True,16.014046901000256
True,g000_seed11,0,True,100.0,True,True,11,9.650336546922514,True,case_000_seeded_random.json,,0.8806137741274646,c4ccad8d74f5bf63a45b3eca8a861b7c4e60cca35d37f4c03c74d9a38c114bd2,True,78.11666666666667,0.0,0.002000000000000668,0.0,0.8592457613275164,0.11215392715287736,26.17622388333378,seeded_random,friction,0.0,0.5336139028277972,29.77805784948941,14.423920550396002,6000,377.46102160902797,600,0.0,0.0,0.0,0.7549220432180559,287335974,train,3.334823907401162,False,,3.552713678800501e-15,case_000_seeded_random.npz,True,True,15.895681027999672
True,g001_seed11,1,True,100.0,True,False,11,9.455084408284941,True,case_001_plus_one.json,,0.6902253720075384,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,True,0.9833333333333333,0.0,0.002000000000000668,0.0,0.8644982668277525,0.08215206864805225,27.632834504993298,plus_one,friction,0.0,0.3981615842868226,31.2231032501586,15.465294977072784,6000,357.60129811171794,600,0.0,0.0,0.0,0.7152025962234358,287335974,development_test,15.734467358052854,False,,3.552713678800501e-15,case_001_plus_one.npz,True,True,16.778462583000874
True,g001_seed11,1,True,100.0,True,False,11,9.503432019369372,True,case_001_minus_one.json,,0.629530774064958,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,True,0.48333333333333334,0.0,0.002000000000000668,0.0,0.8509199734516928,0.07310517108037745,26.1231938982534,minus_one,friction,0.0,0.4000708861803668,29.56390359850047,12.627871577794696,6000,378.1936031712648,600,0.0,0.0,0.0,0.7563872063425295,287335974,development_test,15.539910857409184,False,,3.552713678800501e-15,case_001_minus_one.npz,True,True,15.864890229999219
True,g001_seed11,1,True,100.0,True,True,11,8.608982456015468,True,case_001_alternating.json,,0.3148590634105396,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,True,89.85,0.0,0.002000000000000668,0.0,0.8509199734516928,0.07449080359047729,26.435662694981755,alternating,friction,0.0,0.39593936702275195,29.57139634863779,12.810504231241154,6000,373.5658912834071,600,0.0,0.0,0.0,0.7471317825668142,287335974,development_test,2.1197996459629036,False,,3.552713678800501e-15,case_001_alternating.npz,True,True,16.06142353999894
True,g001_seed11,1,True,100.0,True,True,11,9.654795748557433,True,case_001_seeded_random.json,,0.866763557677401,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,True,77.96666666666667,0.0,0.002000000000000668,0.0,0.8590346912500726,0.11348786740165764,26.305599736688237,seeded_random,friction,0.0,0.43214814029232806,28.59656729933704,14.47801790136848,6000,375.38707498618226,600,0.0,0.0,0.0,0.7507741499723645,287335974,development_test,3.2952251591893855,False,,3.552713678800501e-15,case_001_seeded_random.npz,True,True,15.983501830000023
True,g002_seed11,2,True,100.0,True,False,11,9.45196528011711,True,case_002_plus_one.json,,0.6672918425192733,7de4a580a6c8ff1c7f8c59061686922a216fdde972b1a2d29c6c5658355a75fc,True,0.9833333333333333,0.0,0.002000000000000668,0.0,0.8680060866874881,0.07695450753347922,26.539146419972894,plus_one,friction,0.0,0.33618212045880735,28.484302300148556,15.671393625694261,6000,372.58171360816453,600,0.0,0.0,0.0,0.745163427216329,287335974,validation,15.762041044652557,False,,3.552713678800501e-15,case_002_plus_one.npz,True,True,16.10384992299987
True,g002_seed11,2,True,100.0,True,False,11,9.504594079057968,True,case_002_minus_one.json,,0.6266331665261626,7de4a580a6c8ff1c7f8c59061686922a216fdde972b1a2d29c6c5658355a75fc,True,0.48333333333333334,0.0,0.002000000000000668,0.0,0.8506257065828762,0.07234389853911112,24.383608076674744,minus_one,friction,0.0,0.37301366884365855,26.763847199345037,12.613018642147306,6000,405.1500643953001,600,0.0,0.0,0.0,0.8103001287906002,287335974,validation,15.543281703728976,False,,3.552713678800501e-15,case_002_minus_one.npz,True,True,14.809327524000764
