surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,max_force_n,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status
0,no_bias,modest_combined,online,11,1.0,8.0,combined_post,2000,0.3842924168547476,12.563678946107986,100.0,1.411035730745816,0.0026609995776323133,0.32152938606905507,0.0,100.0,39.800000000000004,0.05,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,6.0,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,6.0,combined_transition,2000,0.42851827240624685,12.374976260816783,100.0,1.4350661970578291,0.003685117537607361,0.27962162136623897,0.0,100.0,5.4,8.6,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,6.0,combined_post,2000,0.8020661430764406,11.828149804524852,100.0,3.3183299809868836,0.003994381526470877,0.4311951404836097,0.0,100.0,95.6,0.0,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,8.0,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,8.0,combined_transition,2000,0.42815001227350036,12.374976260816783,100.0,1.412768386389548,0.003736915959894079,0.28167237297588194,0.0,100.0,0.0,8.6,,yes,no,not_evaluated
15.0,combined,modest_combined,online,11,1.0,8.0,combined_post,2000,0.8005969789974078,11.811942734896029,100.0,1.2640303047829278,0.002633473414366785,0.45065028550050656,0.0,100.0,29.299999999999997,0.0,,yes,no,not_evaluated
15.0,no_bias,modest_combined,online,11,1.0,6.0,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
15.0,no_bias,modest_combined,online,11,1.0,6.0,combined_transition,2000,0.13067584343661062,12.374976260816783,100.0,1.6337582793808667,0.004156352591759947,0.27650946756657196,0.0,100.0,6.05,8.5,,yes,no,not_evaluated
15.0,no_bias,modest_combined,online,11,1.0,6.0,combined_post,2000,0.3834991933778107,12.603163812446335,100.0,4.183927734058911,0.005016281865020572,0.42158420447864947,0.0,100.0,97.65,0.0,,yes,no,not_evaluated
15.0,no_bias,modest_combined,online,11,1.0,8.0,pre_change,1250,0.12659154270213682,12.326054470739377,100.0,1.7972329659155355,0.004182959647638352,0.5104415093305257,0.0,100.0,0.0,0.0,,yes,no,not_evaluated
15.0,no_bias,modest_combined,online,11,1.0,8.0,combined_transition,2000,0.13043218856261232,12.374976260816783,100.0,1.5910872297491243,0.004238805583650225,0.27986115523117067,0.0,100.0,0.0,8.5,,yes,no,not_evaluated
15.0,no_bias,modest_combined,online,11,1.0,8.0,combined_post,2000,0.38816535055150886,12.584828269955192,100.0,1.466833908186656,0.0027127655996522456,0.4419171573674762,0.0,100.0,39.65,0.05,,yes,no,not_evaluated
