method,case_index,true_sliding_friction,contact_in_both_methods,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n
integral,16,0.25,True,0.004649598842481936,-0.0017585762520173631,-2.459384728004941,0.0,0.0,0.0633751112016554,-0.00023826179412900217,0.0,0.0,-1.5885432039342007e-05,-0.0079886269771825,0.0,3.231804505218248
friction,16,0.25,True,-0.011730472071279946,0.08808272056089805,-3.6283072434468804,0.0,0.0,0.035405278579013544,-0.00013161358099783582,0.0,0.0,3.11972669919669e-14,-0.0038736454014038912,0.0,5.62184799694115
integral,16,0.45,True,0.008135796059556846,-0.0015150220935726821,-3.6074159420578393,0.0,0.0,0.09706018607884037,-0.0006335062150767401,0.0,0.0,-1.3588450333612556e-05,-0.020816926711825112,0.0,5.2772756963338985
friction,16,0.45,True,-0.0047841108879879135,0.0,-10.010218040757843,0.0,0.0,0.029810406704665338,-0.0006997696634886419,0.0,0.0,0.0,-0.006262262817136044,0.0,5.615892952936453
integral,16,0.65,True,0.008942649313172055,0.04181483176188294,-5.537852428105257,0.0,0.0,0.07366902130893299,-0.0011244143960772168,0.0,0.0,-1.3588450465507051e-05,-0.028377243934871843,0.0,6.000000000000002
friction,16,0.65,True,0.0007473035532810646,0.0,-9.10597197799816,0.0,0.0,0.017312925281642355,-0.0008686072542065382,0.0,0.0,0.0,-0.0063578648619166955,0.0,5.618256788848847
