method,case_index,true_sliding_friction,contact_in_both_methods,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n
integral,0,0.45,True,0.034018745125546146,-0.0014253651263125278,-3.7395438715957123,0.0,0.0,0.12047089788279353,0.000322174255715596,0.0,0.0,-1.3216674577654075e-05,-0.024710938863822474,0.0,5.269030526563039
integral,1,0.45,True,0.03791637992081606,-0.0014237550507019137,-3.7380148380166407,0.0,0.0,0.12042553557106572,0.0003015287507414921,0.0,0.0,-1.3199112025574777e-05,-0.025502856282114905,0.0,5.256625418794672
integral,2,0.45,True,0.03386097786649933,-0.0014149226619615263,-3.7394779810508147,0.0,0.0,0.12052044056888966,0.0003309161874564259,0.0,0.0,-1.3084076749159124e-05,-0.024789522331146063,0.0,5.270339968538392
integral,3,0.45,True,0.0377657571337337,-0.001414976428957715,-3.7379275267509158,0.0,0.0,0.12047555668249532,0.00031141682754712297,0.0,0.0,-1.3295226138798633e-05,-0.02562640200648103,0.0,5.257892732654334
integral,4,0.45,True,0.03382466621095362,-0.001405073970802917,-3.738011914497994,0.0,0.0,0.12049970193022574,0.00031954221694383,0.0,0.0,-1.4285519146173264e-05,-0.024481080563664936,0.0,5.269722854221326
integral,5,0.45,True,0.03759172479273115,-0.001557499608345836,-3.7362113476154626,0.0,0.0,0.12046118010923157,0.0003215122388891267,0.0,0.0,-1.5176655019488727e-05,-0.025926728863602144,0.0,5.257358955833242
integral,6,0.45,True,0.03366998341441002,-0.0013953466686782434,-3.737939487970902,0.0,0.0,0.1205488868368263,0.00032987626401381753,0.0,0.0,-1.4155511568469947e-05,-0.024556363805836368,0.0,5.271010056218588
integral,7,0.45,True,0.03744141902425213,-0.0015473920227719873,-3.736123034308875,0.0,0.0,0.12051053992109306,0.0003315237639709423,0.0,0.0,-1.504430648457955e-05,-0.026057215905143982,0.0,5.258628751778007
integral,8,0.45,True,0.007423394566959812,-0.0016066199271485004,-3.6891096023082284,0.0,0.0,0.10617249230073711,-0.00023226820932784054,0.0,0.0,-1.3838638679430915e-05,-0.023064592260230166,0.0,5.178515123116944
integral,9,0.45,True,0.010835406669290892,-0.0015036887028667678,-3.6889093060890925,0.0,0.0,0.10617278165110694,-3.149457093093444e-06,0.0,0.0,-1.3799645370848879e-05,-0.024625743663658772,0.0,5.175174205659595
integral,10,0.45,True,0.007286221797475317,-0.0015972733401987682,-3.688845421457934,0.0,0.0,0.10621854414801085,-0.00022178475709824785,0.0,0.0,-1.3720608260658906e-05,-0.02314858996316227,0.0,5.179219806362696
integral,11,0.45,True,0.01068468907571557,-0.0014963899129742941,-3.6886309781640563,0.0,0.0,0.10621884130922915,3.630533354226362e-06,0.0,0.0,-1.3690472200345027e-05,-0.024693595177954775,0.0,5.175931108143631
integral,12,0.45,True,0.007290596530137777,-0.0015490122846788523,-3.686989587371535,0.0,0.0,0.10619268525224923,-0.00021564148244829218,0.0,0.0,-1.486615069934416e-05,-0.023048365082239952,0.0,5.178413005029007
integral,13,0.45,True,0.010710156671481508,-0.0014876043079983248,-3.686624609800477,0.0,0.0,0.10618886675177236,-5.036661200580328e-06,0.0,0.0,-1.5157785637764931e-05,-0.024472397681524205,0.0,5.174688344124555
integral,14,0.45,True,0.007159825886905308,-0.0015407785510745953,-3.6867234909793947,0.0,0.0,0.10623866457076553,-0.00020144206941485887,0.0,0.0,-1.4756073030142147e-05,-0.02312782644117717,0.0,5.179122202913909
integral,15,0.45,True,0.010561140214458031,-0.0014811403180274851,-3.6863477523605663,0.0,0.0,0.10623465318557479,1.5699988169526335e-06,0.0,0.0,-1.5053837565393025e-05,-0.024541269732086812,0.0,5.175449872022858
integral,16,0.45,True,0.00964429449548257,-0.0015150220935726821,-3.6534315791640317,0.0,0.0,0.10059714315499413,-0.0004453859704618146,0.0,0.0,-1.3588450333612556e-05,-0.02281159212655548,0.0,5.1933895936561845
integral,17,0.45,True,0.012013554449240016,0.02184188887415317,-3.655169214418736,0.0,0.0,0.10064578787320733,-0.0001627253405625806,0.0,0.0,-1.5147790320746424e-05,-0.02253319852264446,0.0,5.18517652863461
integral,18,0.45,True,0.00950698558832383,-0.00150465578574277,-3.6529728121577953,0.0,0.0,0.10064194508130747,-0.0004355313816608031,0.0,0.0,-1.3455700515585534e-05,-0.02286397531049178,0.0,5.19383311572058
integral,19,0.45,True,0.011882627667644197,0.0217009794947991,-3.6547086453383972,0.0,0.0,0.10069054051044268,-0.00015662825876203157,0.0,0.0,-1.5008804289617927e-05,-0.022606192531589353,0.0,5.185696843440886
integral,20,0.45,True,0.009461803615232689,-0.00230605466541256,-3.6508073352564345,0.0,0.0,0.10059839802889164,-0.00045957220456288583,0.0,0.0,-1.4697482800252182e-05,-0.022509525161567456,0.0,5.192877134502756
integral,21,0.45,True,0.011815998390129923,0.045894922809585736,-3.6523170667412668,0.0,0.0,0.10065391941487445,-0.00018046822366249438,0.0,0.0,-1.6938664089360955e-05,-0.02273556920668307,0.0,5.184586539446722
integral,22,0.45,True,0.009327553213975104,-0.0020460773972050816,-3.6503525794774916,0.0,0.0,0.10064325947587399,-0.00044846735349704514,0.0,0.0,-1.4567591563596771e-05,-0.022607286677574945,0.0,5.193325247744426
integral,23,0.45,True,0.01168622205715275,0.045784309232264064,-3.65185854585809,0.0,0.0,0.10069888165106694,-0.00017513953829989548,0.0,0.0,-1.6795839608008123e-05,-0.022805928912648987,0.0,5.185111419238585
friction,0,0.45,True,0.01054736513507068,7.815970093361102e-14,-9.943459648433354,0.0,0.0,0.02461761726279099,-0.002189196223914669,0.0,0.0,0.0,-0.008445102415965633,0.0,5.555088706099216
friction,1,0.45,True,0.012197441008614307,9.592326932761353e-14,-9.949856311054237,0.0,0.0,0.024634325104155308,-0.002219889200191366,0.0,0.0,0.0,-0.00825912773386872,0.0,5.543367645278306
friction,2,0.45,True,0.010409203900933417,-1.971756091734278e-13,-9.94147839553263,0.0,0.0,0.02461859555603696,-0.0021768670483337527,0.0,0.0,-1.283417816466681e-13,-0.008459580505491449,0.0,5.555036651401211
friction,3,0.45,True,0.012055125779343367,-1.7763568394002505e-15,-9.947869827175513,0.0,0.0,0.024635418332462078,-0.0021986836481539263,0.0,0.0,0.0,-0.008325570543373018,0.0,5.543459656967724
friction,4,0.45,True,0.009994227318174481,0.0,-9.94222318029669,0.0,0.0,0.024599152313132366,-0.002397013039780599,0.0,0.0,0.0,-0.00848825225839911,0.0,5.555913425289675
friction,5,0.45,True,0.01161519499411312,0.0,-9.94916277869176,0.0,0.0,0.024611264242617836,-0.002438077693478813,0.0,0.0,0.0,-0.008449480202692428,0.0,5.546061648030318
friction,6,0.45,True,0.009859284361977,-2.9665159217984183e-13,-9.940195974141298,0.0,0.0,0.024600567062028622,-0.002384368955959254,0.0,0.0,1.4577228313328305e-13,-0.00849149733655663,0.0,5.555835437714571
friction,7,0.45,True,0.011473743703216216,-1.1123546528324368e-11,-9.947134765256042,0.0,0.0,0.024612526013963465,-0.0024184222186591497,0.0,0.0,-2.0872192862952943e-14,-0.00848657438866196,0.0,5.546138571318563
friction,8,0.45,True,0.0005804327562571598,0.0,-9.949571774276734,0.0,0.0,0.0248214022220401,-0.0007428306140734864,0.0,0.0,0.0,-0.007427551924732434,0.0,5.5560059220670315
friction,9,0.45,True,0.0023184906520609116,0.0,-9.956040697730558,0.0,0.0,0.024824073774848077,-0.0007139340716295628,0.0,0.0,0.0,-0.00808466915822037,0.0,5.54443122430275
friction,10,0.45,True,0.000451323501307499,0.0,-9.94759798222689,0.0,0.0,0.0248226592907696,-0.0007276774484665516,0.0,0.0,0.0,-0.007482221691140767,0.0,5.555899583976282
friction,11,0.45,True,0.002169969138731853,0.0,-9.954061928684226,0.0,0.0,0.02482512834149686,-0.0006970354194600903,0.0,0.0,0.0,-0.008121537589500516,0.0,5.544215662554637
