surface_yaw_deg,scale,case,arm,simulation_seed,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
-15,1,stop_hold_reverse,baseline,11,forward,1500,0.1990931449476366,12.38547053579284,100.0,11.828995061078928,0.017919060184760974,0.5321491458114681,0.0,0.0,6.230378935348997,5.030378935348998,0.0,0.0,-0.010547365135092635,-0.024617617262808977,,yes,,yes
-15,1,stop_hold_reverse,baseline,11,stopping,500,0.17651903067304722,12.1733400072315,100.0,10.295766049959017,0.008257899460244009,0.21411566119847916,0.0,0.0,5.993902101940241,4.793902101940242,0.0,0.0,-0.028658502069778713,-0.03177541544699433,,yes,,yes
-15,1,stop_hold_reverse,baseline,11,hold,750,0.05369329598759201,12.155188612577644,100.0,5.936088856358057,0.0039238135731343516,0.2878686619033486,0.0,0.0,6.08029422581731,4.880294225817311,0.0,0.0,-0.013241143858337454,0.10293030509994416,,yes,,yes
-15,1,stop_hold_reverse,baseline,11,reverse_ramp,500,0.1188198624697186,12.123922198362633,100.0,7.085849922680757,0.02132915222670386,0.19683827112683416,0.0,0.0,6.391470067587786,5.191470067587787,0.0,0.0,0.03595955884850413,0.008161206719869085,,yes,,yes
-15,1,stop_hold_reverse,baseline,11,reverse,2000,0.07707445887224594,12.19733841249881,100.0,11.68127285271805,0.014241318470239796,0.28946570672414107,0.0,0.0,5.7320821919327045,4.532082191932705,0.0,0.0,-0.002203134649849392,-0.02543546162146154,,yes,,yes
-15,1,stop_hold_reverse,friction,11,forward,1500,0.20964051008272924,12.416675754732386,100.0,1.8855354126456911,0.003714436990405125,0.5567667630742771,0.0,0.0,6.248179248887389,5.04817924888739,0.010547365135092635,0.024617617262808977,0.0,0.0,,yes,,yes
-15,1,stop_hold_reverse,friction,11,stopping,500,0.20517753274282594,12.301062983437982,100.0,0.7476826798288999,0.002739653657394312,0.2458910766454735,0.0,0.0,5.805095761908429,4.60509576190843,0.028658502069778713,0.03177541544699433,0.0,0.0,,yes,,yes
-15,1,stop_hold_reverse,friction,11,hold,750,0.06693443984592946,12.257488413431508,100.0,0.2658185867828674,0.000264557744707024,0.18493835680340442,0.0,0.0,6.477366428643842,5.277366428643843,0.013241143858337454,-0.10293030509994416,0.0,0.0,,yes,,yes
-15,1,stop_hold_reverse,friction,11,reverse_ramp,500,0.08286030362121447,12.152537043361587,100.0,1.6808698408377996,0.004023881268133613,0.18867706440696508,0.0,0.0,6.555051747175373,5.355051747175374,-0.03595955884850413,-0.008161206719869085,0.0,0.0,,yes,,yes
-15,1,stop_hold_reverse,friction,11,reverse,2000,0.07927759352209533,12.179594065365626,100.0,1.5875203534223805,0.002290576767446708,0.3149011683456026,0.0,0.0,5.761221852188465,4.561221852188465,0.002203134649849392,0.02543546162146154,0.0,0.0,,yes,,yes
