case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
static_nominal,baseline,11,11,0.0,5250,0.11525211652977149,12.620729988248337,100.0,11.715392263612149,0.01596870114529809,0.32444385607655957,0.0,steady,0.11525211652977149,steady,11.715392263612149,steady,0.32444385607655957,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0047841108879879135,-0.029810406704665338,,yes
static_nominal,integral,11,11,0.0,5250,0.12338791258932834,12.619214966154765,100.0,8.10797632155431,0.012864087706653204,0.42150404215539994,0.0,steady,0.12338791258932834,steady,8.10797632155431,steady,0.42150404215539994,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.2772756963338985,False,0.0,0.0,9.692766618714668,0.0,0.008135796059556846,0.09706018607884037,0.01291990694754476,0.06724977937417503,,yes
static_nominal,friction,11,11,0.0,5250,0.11046800564178358,12.620729988248337,100.0,1.705174222854305,0.002721998859302423,0.3542542627812249,0.0,steady,0.11046800564178358,steady,1.705174222854305,steady,0.3542542627812249,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.615892952936453,False,0.0,0.0,69.75438567289864,0.0,-0.0047841108879879135,0.029810406704665338,0.0,0.0,,yes
static_nominal,online,11,11,0.0,5250,0.11212204460088371,12.65924137253659,100.0,1.0620231601766827,0.00241161142571995,0.3635338925833311,0.0,steady,0.11212204460088371,steady,1.0620231601766827,steady,0.3635338925833311,not_applicable,,,not_applicable,,,99.65714285714286,0.45,0.5080362935644128,5.984360762996737,False,0.2566440827006522,0.0,20.00000000000043,0.0,-0.0031300719288877843,0.03909003650677151,0.0016540389591001292,0.00927962980210617,,yes
static_nominal,baseline,29,29,0.0,5250,0.10996301091194309,12.599041467799319,100.0,11.705739374078753,0.015966644518958,0.324667340718148,0.0,steady,0.10996301091194309,steady,11.705739374078753,steady,0.324667340718148,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.004735977904786595,-0.02982388235989386,,yes
static_nominal,integral,29,29,0.0,5250,0.11889465779661966,12.620883356673472,100.0,8.096124394850802,0.012876055194038383,0.4217069731430992,0.0,steady,0.11889465779661966,steady,8.096124394850802,steady,0.4217069731430992,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.268614032291215,False,0.0,0.0,9.80900063290379,0.0,0.00893164688467657,0.09703963242495117,0.013667624789463165,0.06721575006505731,,yes
static_nominal,friction,29,29,0.0,5250,0.1052270330071565,12.599041467801147,100.0,1.6911089825465193,0.00273874665017497,0.3544912230780419,0.0,steady,0.1052270330071565,steady,1.6911089825465193,steady,0.3544912230780419,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.621213330064391,False,0.0,0.0,68.4872964635239,0.0,-0.004735977904786595,0.02982388235989386,0.0,0.0,,yes
static_nominal,online,29,29,0.0,5250,0.10703474407338961,12.63410237735084,100.0,1.055169398211605,0.0024379360506181294,0.36378316803405053,0.0,steady,0.10703474407338961,steady,1.055169398211605,steady,0.36378316803405053,not_applicable,,,not_applicable,,,99.65714285714286,0.45,0.5073953938083452,5.984360762996737,False,0.2573207218383722,0.0,20.0000000000005,0.0,-0.0029282668385534755,0.03911582731590252,0.0018077110662331197,0.009291944956008658,,yes
static_low_friction,baseline,11,11,0.0,5250,0.11193447972816334,12.618860664435996,100.0,7.503573691169135,0.010282293758643925,0.43264147721256446,0.0,steady,0.11193447972816334,steady,7.503573691169135,steady,0.43264147721256446,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.011730472071279946,-0.035405278579013544,,yes
static_low_friction,integral,11,11,0.0,5250,0.11658407857064527,12.617102088183978,100.0,5.044188963164194,0.008260496344228156,0.49601658841421986,0.0,steady,0.11658407857064527,steady,5.044188963164194,steady,0.49601658841421986,not_applicable,,,not_applicable,,,0.0,0.45,0.45,3.231804505218248,False,0.0,0.0,7.040847913531269,0.0,0.004649598842481936,0.0633751112016554,0.016380070913761882,0.027969832622641855,,yes
static_low_friction,friction,11,11,0.0,5250,0.10020400765688339,12.706943384996894,100.0,3.8752664477222543,0.0050448784056052595,0.468046755791578,0.0,steady,0.10020400765688339,steady,3.8752664477222543,steady,0.468046755791578,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.62184799694115,False,0.0,0.0,69.7469401551688,0.0,-0.011730472071279946,0.035405278579013544,0.0,0.0,,yes
static_low_friction,online,11,11,0.0,5250,0.10208889334096878,12.645280359844685,100.0,1.1320457249447955,0.0024281440446469733,0.4541587133067125,0.0,steady,0.10208889334096878,steady,1.1320457249447955,steady,0.4541587133067125,not_applicable,,,not_applicable,,,99.63809523809523,0.3032655205511659,0.45,5.638098157037382,False,0.22199108295470338,0.0,20.000000000000362,0.0,-0.009845586387194558,0.021517236094148018,0.0018848856840853884,-0.013888042484865526,,yes
static_low_friction,baseline,29,29,0.0,5250,0.10697253185593084,12.597629267752529,100.0,7.499377563881965,0.010298740858550353,0.4328324208684761,0.0,steady,0.10697253185593084,steady,7.499377563881965,steady,0.4328324208684761,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.011616576449739971,-0.03536495389555072,,yes
static_low_friction,integral,29,29,0.0,5250,0.11215960430196127,12.595614790033567,100.0,5.037050984618232,0.008298542209799477,0.496183835396793,0.0,steady,0.11215960430196127,steady,5.037050984618232,steady,0.496183835396793,not_applicable,,,not_applicable,,,0.0,0.45,0.45,3.2218828568588753,False,0.0,0.0,6.948924208016705,0.0,0.005187072446030436,0.06335141452831689,0.016803648895770407,0.027986460632766164,,yes
static_low_friction,friction,29,29,0.0,5250,0.09535595540619086,12.674151551885851,100.0,3.8775976123874862,0.005052489996680365,0.46819737476402684,0.0,steady,0.09535595540619086,steady,3.8775976123874862,steady,0.46819737476402684,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.606882777205215,False,0.0,0.0,68.48135234918041,0.0,-0.011616576449739971,0.03536495389555072,0.0,0.0,,yes
static_low_friction,online,29,29,0.0,5250,0.0974372311908678,12.617073903096696,100.0,1.1282545240195412,0.0024196170445944564,0.454263396502179,0.0,steady,0.0974372311908678,steady,1.1282545240195412,steady,0.454263396502179,not_applicable,,,not_applicable,,,99.63809523809523,0.3028756366129424,0.45,5.654920349408501,False,0.21595250564307444,0.0,20.00000000000049,0.0,-0.009535300665063029,0.021430975633702887,0.002081275784676942,-0.013933978261847835,,yes
static_high_friction,baseline,11,11,0.0,5250,0.118258210506352,12.620729988248337,100.0,15.590050262703471,0.020987754031491224,0.285700465453699,0.0,steady,0.118258210506352,steady,15.590050262703471,steady,0.285700465453699,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007473035532810646,-0.017312925281642355,,yes
static_high_friction,integral,11,11,0.0,5250,0.12720085981952406,12.66254482001022,100.0,10.052197834598214,0.01582877709715842,0.359369486762632,0.0,steady,0.12720085981952406,steady,10.052197834598214,steady,0.359369486762632,not_applicable,,,not_applicable,,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,12.142060614478588,0.0,0.008942649313172055,0.07366902130893299,0.00819534575989099,0.056356096027290636,,yes
static_high_friction,friction,11,11,0.0,5250,0.11900551405963307,12.620729988248337,100.0,6.484078284705312,0.00904412719605032,0.30301339073534134,0.0,steady,0.11900551405963307,steady,6.484078284705312,steady,0.30301339073534134,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.618256788848847,False,0.0,0.0,69.75438567289912,0.0,0.0007473035532810646,0.017312925281642355,0.0,0.0,,yes
static_high_friction,online,11,11,0.0,5250,0.11945993406492281,12.620729988248337,100.0,5.363460222774136,0.007636633575442594,0.30750664763559016,0.0,steady,0.11945993406492281,steady,5.363460222774136,steady,0.30750664763559016,not_applicable,,,not_applicable,,,99.6952380952381,0.45,0.5099960139991322,5.984360762996737,False,0.30000000000002247,0.0,20.00000000000039,0.0,0.0012017235585708025,0.021806182181891176,0.0004544200052897379,0.004493256900248821,,yes
static_high_friction,baseline,29,29,0.0,5250,0.11281363256449169,12.599041467799841,100.0,15.576061445729918,0.020977128443969182,0.28561515133631044,0.0,steady,0.11281363256449169,steady,15.576061445729918,steady,0.28561515133631044,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046265653006780094,-0.017375935615287275,,yes
static_high_friction,integral,29,29,0.0,5250,0.12254609111795255,12.656102273900007,100.0,10.045394078383787,0.015838357995430572,0.3596014180950098,0.0,steady,0.12254609111795255,steady,10.045394078383787,steady,0.3596014180950098,not_applicable,,,not_applicable,,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,12.240942536806838,0.0,0.00973245855346086,0.07398626675869935,0.009269802023393059,0.056610331143412074,,yes
static_high_friction,friction,29,29,0.0,5250,0.11327628909455949,12.599041467799319,100.0,6.4655146889934665,0.00903706619506495,0.3029910869515977,0.0,steady,0.11327628909455949,steady,6.4655146889934665,steady,0.3029910869515977,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.616828188845868,False,0.0,0.0,68.48729646351977,0.0,0.00046265653006780094,0.017375935615287275,0.0,0.0,,yes
static_high_friction,online,29,29,0.0,5250,0.11402257822949877,12.599041467799319,100.0,5.343779684113037,0.007630694693171419,0.30748629989503456,0.0,steady,0.11402257822949877,steady,5.343779684113037,steady,0.30748629989503456,not_applicable,,,not_applicable,,,99.6952380952381,0.45,0.5087999999999998,5.984360762996737,False,0.30000000000002247,0.0,20.000000000000444,0.0,0.0012089456650070801,0.02187114855872413,0.0007462891349392792,0.004495212943436855,,yes
friction_step_up,baseline,11,11,0.0,5250,0.15321661285459975,12.618860664435996,100.0,12.755076187021789,0.017204487306136294,0.3657548723889275,0.0,post_step,0.1537352013165376,post_step,15.542826901674374,pre_step,0.462353946712296,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.014753316005580996,-0.026632450554788745,,yes
friction_step_up,integral,11,11,0.0,5250,0.1569700260770347,12.617102088183978,100.0,8.140183912430206,0.01310852862622826,0.42909854746895676,0.0,pre_step,0.15718620505686362,post_step,9.79389038759563,pre_step,0.5302162721075029,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,10.041422575289417,0.0,0.0037534132224349426,0.06334367508002925,0.01850672922801594,0.036711224525240505,,yes
friction_step_up,friction,11,11,0.0,5250,0.13846329684901876,12.706943384996894,100.0,5.439378926820597,0.009221074729131917,0.39238732294371625,0.0,post_step,0.14463496518576746,post_step,6.38823938840725,pre_step,0.49774921265635325,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.62184799694115,False,0.0,0.0,69.7469401551688,0.0,-0.014753316005580996,0.026632450554788745,0.0,0.0,,yes
friction_step_up,online,11,11,0.0,5250,0.1440348134562462,12.645280359844685,100.0,4.293100662535731,0.008293748759970198,0.3875959764223752,0.0,post_step,0.15059234123425305,post_step,5.551224527880217,pre_step,0.4854078405788599,recovered,True,0.0,not_recovered,False,,99.12380952380953,0.3038439695935701,0.5095682232563066,5.984360762996737,False,0.30000000000002247,0.0,20.000000000000362,0.0,-0.009181799398353563,0.02184110403344769,0.005571516607227434,-0.0047913465213410555,,yes
friction_step_up,baseline,29,29,0.0,5250,0.14957156362780555,12.597629267752529,100.0,12.74457441272313,0.017202243989570206,0.36582457127137485,0.0,post_step,0.15320547304195503,post_step,15.527961495625487,pre_step,0.46253073920149673,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.014970107155274415,-0.02656639027291069,,yes
friction_step_up,integral,29,29,0.0,5250,0.1536677086473166,12.633873429656266,100.0,8.13248885415594,0.013135331833000339,0.4293075840733936,0.0,post_step,0.15618185392950318,post_step,9.784438516300305,pre_step,0.5303964723013478,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,10.04811248016016,0.0,0.004096145019511055,0.06348301280201873,0.01906625217478547,0.036916622529108045,,yes
friction_step_up,friction,29,29,0.0,5250,0.13460145647253113,12.674151551885851,100.0,5.425322745193619,0.00919643276198233,0.39239096154428554,0.0,post_step,0.1433164799799673,post_step,6.367722114783573,pre_step,0.4977882206410562,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.606882777205215,False,0.0,0.0,68.48135234918041,0.0,-0.014970107155274415,0.02656639027291069,0.0,0.0,,yes
friction_step_up,online,29,29,0.0,5250,0.1399304885368607,12.617073903096696,100.0,4.255809027597623,0.008167916696416613,0.38734453388123397,0.0,post_step,0.1486008476157697,post_step,5.501181678142632,pre_step,0.4853891459516333,recovered,True,0.0,not_recovered,False,,99.63809523809523,0.3032777080401932,0.5085541287885649,5.984360762996737,False,0.30000000000002247,0.0,20.00000000000049,0.0,-0.009641075090944862,0.02151996260985911,0.005329032064329553,-0.005046427663051578,,yes
friction_step_down,baseline,11,11,0.0,5250,0.16617461555217075,14.475732473913023,100.0,11.69742719411634,0.01767538264235168,0.3711996897584819,0.0,post_step,0.1716666727424634,pre_step,15.539762727019674,post_step,0.41017614060483587,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0037020567744277533,-0.030093248909924486,,yes
