case,simulation_seed,arm,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
static_nominal,11,baseline,steady,5250,0.11525211652977149,12.606747066028133,100.0,11.715392263612149,0.01596870114529809,0.32444385607655957,0.0,0.0,0.0,0.0047841108879879135,-0.029810406704665338,,yes
static_nominal,11,integral,steady,5250,0.12338791258932834,12.606469062135506,100.0,8.10797632155431,0.012864087706653204,0.42150404215539994,0.0,0.008135796059556846,0.09706018607884037,0.01291990694754476,0.06724977937417503,,yes
static_nominal,11,friction,steady,5250,0.11046800564178358,12.554738611468027,100.0,1.705174222854305,0.002721998859302423,0.3542542627812249,0.0,-0.0047841108879879135,0.029810406704665338,0.0,0.0,,yes
static_nominal,11,online,steady,5250,0.11212204460088371,12.582832059185753,100.0,1.0620231601766827,0.00241161142571995,0.3635338925833311,0.0,-0.0031300719288877843,0.03909003650677151,0.0016540389591001292,0.00927962980210617,,yes
static_nominal,29,baseline,steady,5250,0.10996301091194309,12.556044620520087,100.0,11.705739374078753,0.015966644518958,0.324667340718148,0.0,0.0,0.0,0.004735977904786595,-0.02982388235989386,,yes
static_nominal,29,integral,steady,5250,0.11889465779661966,12.620883356673472,100.0,8.096124394850802,0.012876055194038383,0.4217069731430992,0.0,0.00893164688467657,0.09703963242495117,0.013667624789463165,0.06721575006505731,,yes
static_nominal,29,friction,steady,5250,0.1052270330071565,12.525623217192832,100.0,1.6911089825465193,0.00273874665017497,0.3544912230780419,0.0,-0.004735977904786595,0.02982388235989386,0.0,0.0,,yes
static_nominal,29,online,steady,5250,0.10703474407338961,12.56064454447647,100.0,1.055169398211605,0.0024379360506181294,0.36378316803405053,0.0,-0.0029282668385534755,0.03911582731590252,0.0018077110662331197,0.009291944956008658,,yes
static_low_friction,11,baseline,steady,5250,0.11193447972816334,12.561014019466914,100.0,7.503573691169135,0.010282293758643925,0.43264147721256446,0.0,0.0,0.0,0.011730472071279946,-0.035405278579013544,,yes
static_low_friction,11,integral,steady,5250,0.11658407857064527,12.593103702175455,100.0,5.044188963164194,0.008260496344228156,0.49601658841421986,0.0,0.004649598842481936,0.0633751112016554,0.016380070913761882,0.027969832622641855,,yes
static_low_friction,11,friction,steady,5250,0.10020400765688339,12.503555354506942,100.0,3.8752664477222543,0.0050448784056052595,0.468046755791578,0.0,-0.011730472071279946,0.035405278579013544,0.0,0.0,,yes
static_low_friction,11,online,steady,5250,0.10208889334096878,12.58739635940197,100.0,1.1320457249447955,0.0024281440446469733,0.4541587133067125,0.0,-0.009845586387194558,0.021517236094148018,0.0018848856840853884,-0.013888042484865526,,yes
